Scopus SourceID,Quartile,Top 10% (CiteScore Percentile)
12611,Quartile 1,Top 10%
12611,Quartile 1,Top 10%
12611,Quartile 1,Top 10%
15870,Quartile 1,Top 10%
19400156815,Quartile 1,Top 10%
14305,Quartile 1,Top 10%
14305,Quartile 1,Top 10%
4600151524,Quartile 1,Top 10%
4600151524,Quartile 1,Top 10%
17436,Quartile 1,Top 10%
28599,Quartile 1,Top 10%
26769,Quartile 1,Top 10%
26769,Quartile 1,Top 10%
5800207366,Quartile 1,Top 10%
146172,Quartile 1,Top 10%
146172,Quartile 1,Top 10%
146172,Quartile 1,Top 10%
26463,Quartile 1,Top 10%
26463,Quartile 1,Top 10%
23470,Quartile 1,Top 10%
11500153511,Quartile 1,Top 10%
11500153511,Quartile 1,Top 10%
11500153511,Quartile 1,Top 10%
4000151822,Quartile 1,Top 10%
20205,Quartile 1,Top 10%
20205,Quartile 1,Top 10%
27165,Quartile 1,Top 10%
15090,Quartile 1,Top 10%
15090,Quartile 1,Top 10%
15461,Quartile 1,Top 10%
22321,Quartile 1,Top 10%
22321,Quartile 1,Top 10%
22687,Quartile 1,Top 10%
22687,Quartile 1,Top 10%
17809,Quartile 1,Top 10%
19084,Quartile 1,Top 10%
19084,Quartile 1,Top 10%
19084,Quartile 1,Top 10%
19084,Quartile 1,Top 10%
19084,Quartile 1,Top 10%
14599,Quartile 1,Top 10%
18525,Quartile 1,Top 10%
4700152457,Quartile 1,Top 10%
4700152457,Quartile 1,Top 10%
4700152457,Quartile 1,Top 10%
4700152457,Quartile 1,Top 10%
4700152457,Quartile 1,Top 10%
4700152457,Quartile 1,Top 10%
29949,Quartile 1,Top 10%
29949,Quartile 1,Top 10%
20425,Quartile 1,Top 10%
20425,Quartile 1,Top 10%
14816,Quartile 1,Top 10%
14816,Quartile 1,Top 10%
80280,Quartile 1,Top 10%
80280,Quartile 1,Top 10%
80280,Quartile 1,Top 10%
15359,Quartile 1,Top 10%
15359,Quartile 1,Top 10%
15359,Quartile 1,Top 10%
21677,Quartile 1,Top 10%
21677,Quartile 1,Top 10%
20089,Quartile 1,Top 10%
20089,Quartile 1,Top 10%
20089,Quartile 1,Top 10%
24025,Quartile 1,Top 10%
19584,Quartile 1,Top 10%
19584,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
17500155114,Quartile 1,Top 10%
22680,Quartile 1,Top 10%
22680,Quartile 1,Top 10%
22680,Quartile 1,Top 10%
22680,Quartile 1,Top 10%
16860,Quartile 1,Top 10%
16146,Quartile 1,Top 10%
16146,Quartile 1,Top 10%
29993,Quartile 1,Top 10%
29993,Quartile 1,Top 10%
18100156701,Quartile 1,Top 10%
18100156701,Quartile 1,Top 10%
28787,Quartile 1,Top 10%
28787,Quartile 1,Top 10%
5300152732,Quartile 1,Top 10%
5300152732,Quartile 1,Top 10%
5300152732,Quartile 1,
19049,Quartile 1,Top 10%
21100778827,Quartile 1,Top 10%
21100778827,Quartile 1,Top 10%
21100778827,Quartile 1,Top 10%
21100778827,Quartile 1,Top 10%
21100778827,Quartile 1,Top 10%
12394,Quartile 1,Top 10%
12394,Quartile 1,Top 10%
17956,Quartile 1,Top 10%
17956,Quartile 1,Top 10%
18045,Quartile 1,Top 10%
18045,Quartile 1,Top 10%
18045,Quartile 1,Top 10%
71709,Quartile 1,Top 10%
