,Country Name,Country Code,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
52,Czech Republic,CZE,Scientific and technical journal articles,,,,,,,,,,,6374.8,7000.4,8016.2,8838.7,9988.0,10649.1,11197.6,12673.8,13544.7,13948.9,14401.9,15675.0,16873.4,15963.1,
53,Germany,DEU,Scientific and technical journal articles,,,,,,,,,,,70447.7,74144.7,82968.9,84434.4,88424.9,91159.6,95033.3,97179.4,100879.4,105373.5,105377.5,109262.0,105754.9,103121.9,
54,Djibouti,DJI,Scientific and technical journal articles,,,,,,,,,,,1.3,1.9,2.7,1.9,2.3,2.8,8.1,6.9,4.2,6.6,7.8,7.5,5.8,4.1,
55,Dominica,DMA,Scientific and technical journal articles,,,,,,,,,,,4.6,2.4,5.3,4.2,2.9,5.2,5.0,8.5,6.9,10.8,11.3,10.1,9.5,7.7,
56,Denmark,DNK,Scientific and technical journal articles,,,,,,,,,,,7279.6,7751.3,8312.6,8536.3,9023.1,9283.4,9843.7,10395.9,11590.0,12675.1,13053.1,14022.0,14052.6,13470.7,
57,Dominican Republic,DOM,Scientific and technical journal articles,,,,,,,,,,,13.5,14.0,16.9,16.9,18.2,18.2,15.5,18.1,20.5,25.9,38.9,40.6,35.3,30.1,
58,Algeria,DZA,Scientific and technical journal articles,,,,,,,,,,,629.8,836.9,932.6,1287.5,1405.7,1742.0,2126.3,2137.4,2461.0,3063.4,3538.9,3679.5,4102.8,4447.1,
59,East Asia & Pacific (excluding high income),EAP,Scientific and technical journal articles,,,,,,,,,,,91885.6488141617,125908.722049125,172305.51484599698,199116.70637449398,226454.85254605897,264004.63855100004,307263.304870157,338335.10797588,359787.475324508,359540.367374385,393342.46086332103,426884.321121471,448409.837367924,469078.429081785,
60,Early-demographic dividend,EAR,Scientific and technical journal articles,,,,,,,,,,,81474.2203918695,90177.01603150359,102055.00582774,116971.20884061599,130034.99693264699,143697.552782549,161699.812035516,180301.62473264302,206491.339237317,222901.803351498,240146.886828114,262111.15035555302,272830.988630133,288419.00207362697,
61,East Asia & Pacific,EAS,Scientific and technical journal articles,,,,,,,,,,,264447.477072266,312807.366074996,381745.120582177,420147.02481806296,456740.877533491,498811.818593889,550007.820251103,591605.6773938229,624494.671387233,627777.9076847311,666578.113950967,702708.395021972,716134.2221664491,728815.12921194,
62,Europe & Central Asia (excluding high income),ECA,Scientific and technical journal articles,,,,,,,,,,,61098.2885405866,64146.7572523297,68946.4162497635,65744.0013282718,71709.93845403151,76186.9,83044.3,88025.2,93024.3,96738.3,103677.8,108852.4,118808.9,124730.6,
