,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,2006,309,2270990.4700000016,3325500.4600000046,686362.0,46437.067117306506,0.9009999999999999
1,Spain,2006,7,91600.19999999997,137926.40000000002,15208.0,28482.6094833461,0.848
2,France,2006,12,99870.5,140127.2,28080.0,36443.6234414411,0.8740000000000001
3,Japan,2006,30,286673.50999999995,398634.4,70757.0,35433.988963742995,0.877
4,Germany,2006,18,145407.44000000003,188556.28,37784.0,36447.8723183195,0.9109999999999999
5,United Kingdom,2006,30,186419.69000000006,307944.12,49812.0,44252.3158234429,0.889
6,Netherlands,2006,2,31113.5,40960.0,13312.0,44453.97119462121,0.897
7,Switzerland,2006,5,47682.0,60291.2,15388.0,57579.5019538093,0.912
8,South Korea,2006,6,33715.3,49347.6,7764.0,20888.3801505326,0.862
9,Italy,2006,8,39171.74,68663.68,12616.0,33410.7474398337,0.862
10,China,2006,18,72192.15999999999,122934.4,20374.0,2099.22943460447,0.6609999999999999
11,Australia,2006,4,20670.9,30961.36,4888.0,36019.203051188,0.9109999999999999
12,Finland,2006,1,8200.2,10649.0,2048.0,41120.6765061581,0.899
13,Norway,2006,3,17472.71,26956.8,3008.0,74114.697150083,0.9359999999999999
14,Canada,2006,8,37316.6,61905.6,11184.0,40386.6994835116,0.895
15,Russian Federation,2006,2,9704.529999999999,15874.4,2460.0,6920.194397836079,0.759
16,Malaysia,2006,3,12124.66,21160.0,3554.0,6222.9829548197495,0.737
17,Mexico,2006,1,5090.0,7072.0,1360.0,8859.71535391932,0.736
18,Sweden,2006,1,4999.0,6025.0,886.0,46256.4716010495,0.902
19,United Arab Emirates,2006,1,4713.0,5734.0,2048.0,42372.2216623658,0.83
20,Belgium,2006,1,4492.8,8320.0,1300.0,38852.3729277437,0.8959999999999999
21,India,2006,10,34162.36,61520.0,10908.0,792.025969759363,0.545
22,Saudi Arabia,2006,4,11965.699999999999,24518.4,3936.0,15334.6699396085,0.777
23,Israel,2006,2,7510.0,16224.0,2584.0,21827.8231724236,0.872
24,New Zealand,2006,1,3755.0,7200.0,1000.0,26671.3294177179,0.8909999999999999
25,Brazil,2006,4,13668.380000000001,24871.88,3780.0,5860.145829417521,0.7020000000000001
26,Singapore,2006,2,6324.3,7827.2,1168.0,33579.8594757016,0.871
27,Turkey,2006,1,3288.1,5219.2,560.0,8034.60667553683,0.701
28,Ireland,2006,1,3142.0,4646.0,968.0,54306.9131006241,0.902
29,South Africa,2006,2,5696.0,10752.0,3072.0,5506.196503014648,0.616
30,Denmark,2006,1,2791.0,5324.8,1024.0,52026.9931124155,0.905
31,Taiwan,2006,2,5534.6,9900.8,1768.0,,
