,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,2007,283,4164312.400000001,6213939.399999999,1024339.0,48061.5376613353,0.905
1,Germany,2007,31,536463.7000000002,753360.57,143392.0,41814.8190965222,0.915
2,India,2007,9,194523.69,303651.5,34932.0,1018.16637300127,0.556
3,Sweden,2007,7,186176.5,278732.8,27720.0,53324.379372475596,0.905
4,Spain,2007,9,137451.95,212224.59999999998,24332.0,32709.4010383771,0.853
5,Japan,2007,20,291118.05,405634.2,64218.0,35275.228431266696,0.88
6,United Kingdom,2007,48,512400.1099999999,818365.6000000001,115244.0,50134.3160971463,0.892
7,France,2007,17,222555.21999999997,342988.17,54548.0,41508.4326882318,0.8759999999999999
8,Russian Federation,2007,7,82615.43,122755.8,11796.0,9101.25308480437,0.767
9,Netherlands,2007,6,65154.200000000004,91367.4,17864.0,51241.31561701661,0.904
10,Italy,2007,6,69111.58,172165.1,23040.0,37698.786648397596,0.866
11,Taiwan,2007,11,102966.35,162821.0,14024.0,,
12,Switzerland,2007,7,74568.45999999999,102418.20000000001,20368.0,63555.2374995504,0.915
13,China,2007,10,87176.1,155855.9,22836.0,2695.36591709669,0.675
14,South Korea,2007,1,15706.0,18442.0,1020.0,23060.707883671603,0.8690000000000001
15,Norway,2007,3,28238.71,79666.2,7616.0,85170.86216621571,0.938
16,Malaysia,2007,3,27693.98,52647.1,5448.0,7269.1711404201415,0.75
17,Egypt,2007,1,9949.0,24192.0,2016.0,1640.47606839651,0.65
18,Finland,2007,5,43986.90000000001,66294.0,7832.0,48288.549097818606,0.9009999999999999
19,New Zealand,2007,1,9433.0,11468.8,4096.0,32510.082699939197,0.894
20,Australia,2007,1,8974.0,9830.0,1536.0,40905.470893684505,0.915
21,Indonesia,2007,1,8021.0,12339.0,1928.0,1855.09391519178,0.642
22,Luxembourg,2007,1,7776.1,13122.6,1408.0,106018.492790674,0.888
23,Turkey,2007,2,13806.17,21575.0,2312.0,9709.72002232725,0.708
24,Singapore,2007,1,7739.17,11945.0,1280.0,39223.5818748702,0.878
25,Belgium,2007,1,7596.8,12528.0,1044.0,44403.7668991523,0.899
26,Canada,2007,5,32139.7,50182.600000000006,7178.0,44544.526800403895,0.897
27,Poland,2007,1,6356.15,15456.0,1288.0,11255.4366982999,0.8190000000000001
28,Brazil,2007,1,6210.0,9555.0,1024.0,7313.55777336115,0.705
29,Denmark,2007,1,5949.4,12563.2,2416.0,58487.0450116405,0.904
