,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,2008,290,11181164.50000001,16846821.999999978,2069517.0,48401.4273403899,0.91
1,China,2008,15,520961.5999999999,844191.8,90400.0,3471.2480543115003,0.685
2,Germany,2008,25,803761.0000000001,1087556.7000000002,169844.0,45699.1983232962,0.917
3,India,2008,8,259394.2,368501.2,37488.0,991.484630405176,0.564
4,France,2008,26,886782.0999999997,1298890.4,184276.0,45334.110914727695,0.878
5,Sweden,2008,8,274790.9,405047.39999999997,39084.0,55746.8423811175,0.9009999999999999
6,United Kingdom,2008,46,921810.0999999999,1525340.5000000002,152084.0,46767.592215659286,0.8959999999999999
7,Japan,2008,17,522980.8,734926.3999999999,106984.0,39339.2975731826,0.8809999999999999
8,Finland,2008,1,76510.0,99507.0,10816.0,53401.314872519804,0.904
9,Russian Federation,2008,8,222968.1,285754.1,31840.0,11635.26037297,0.774
10,Spain,2008,6,153201.3,231953.2,26616.0,35579.3099338804,0.856
11,Netherlands,2008,3,111505.7,138752.0,27904.0,56928.820475680586,0.9059999999999999
12,Canada,2008,2,70479.1,88953.6,6800.0,46596.3359912609,0.899
13,Norway,2008,2,72454.0,110984.5,11182.0,97007.9418918692,0.938
14,Poland,2008,6,116998.69999999998,172675.0,16600.0,14001.4468819804,0.8240000000000001
15,Slovenia,2008,1,36752.5,49152.0,4096.0,27501.8102703687,0.878
16,Switzerland,2008,4,81565.0,109846.20000000001,18160.0,72487.8459296849,0.917
17,New Zealand,2008,4,109109.2,204800.0,20480.0,31287.7786475125,0.894
18,Ireland,2008,1,25110.0,28672.0,2560.0,61257.896890275595,0.9079999999999999
19,Israel,2008,1,24670.0,61152.0,5096.0,29531.5721632187,0.88
20,Bulgaria,2008,1,23415.0,27850.0,8192.0,7261.7544920027685,0.7709999999999999
21,South Africa,2008,1,23415.0,27850.0,8192.0,5695.05786031968,0.633
22,Belgium,2008,2,35432.0,58165.4,5552.0,48424.575596314695,0.899
23,Australia,2008,1,21905.7,40960.0,4096.0,49535.257873776914,0.92
24,Malaysia,2008,1,20442.4,38223.9,4096.0,8513.6295414071,0.7609999999999999
25,Italy,2008,11,182434.19999999998,307439.89999999997,35248.0,40640.183858169104,0.868
26,Taiwan,2008,2,33592.0,48960.0,4080.0,,
27,Mexico,2008,1,18480.0,25440.0,2120.0,9765.71680588736,0.742
28,South Korea,2008,1,16990.0,24576.0,3072.0,20430.6394600807,0.8740000000000001
29,Brazil,2008,2,31778.5,53355.4,5008.0,8787.61065756604,0.716
30,Denmark,2008,3,46472.2,55585.2,5440.0,64322.0666441526,0.909
