,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,2005,305,1569869.7900000003,2310400.219999998,522894.0,44307.9205848603,0.898
1,Japan,2005,20,130523.98,181194.19999999998,33163.0,37217.648727917,0.873
2,Spain,2005,2,29770.6,44385.92,4924.0,26510.717453342597,0.8440000000000001
3,Netherlands,2005,4,33320.37,43176.6,13760.0,41577.160088375495,0.8909999999999999
4,Switzerland,2005,4,34368.0,48526.399999999994,14888.0,54952.6737181498,0.905
5,South Korea,2005,7,31599.1,44043.72,5152.0,18639.5222053842,0.855
6,China,2005,17,59541.849999999984,101137.04000000001,16934.0,1753.41782925823,0.647
7,United Kingdom,2005,41,124409.32000000007,235389.96,42328.0,41732.640540022,0.8909999999999999
8,Australia,2005,11,34460.26,54918.8,8394.0,33961.6818019217,0.9079999999999999
9,Germany,2005,24,71303.26000000001,96227.31999999999,15820.0,34696.62091671,0.903
10,Canada,2005,6,22048.0,41424.0,6708.0,36189.5883840265,0.892
11,France,2005,8,23512.480000000003,36572.0,7930.0,34760.1877663866,0.8690000000000001
12,Russian Federation,2005,1,5355.0,8131.2,924.0,5323.47387655593,0.752
13,Sweden,2005,1,4999.0,6025.0,886.0,43085.353145957,0.899
14,Saudi Arabia,2005,4,11965.699999999999,24518.4,3936.0,13739.8294463775,0.77
15,New Zealand,2005,4,9882.65,23520.0,3768.0,27750.7248353584,0.888
16,India,2005,4,11378.880000000001,21691.2,3354.0,707.008019015027,0.535
17,Israel,2005,9,23514.010000000002,43270.4,6452.0,20557.124078202,0.872
18,Brazil,2005,4,12408.56,23668.68,3844.0,4770.18384511293,0.7
19,Italy,2005,6,14536.83,23252.48,4740.0,31959.2629518749,0.857
20,Denmark,2005,1,2791.0,5324.8,1024.0,48799.8203703247,0.903
21,Ireland,2005,2,5515.0,8052.0,1680.0,50878.6395176066,0.8959999999999999
22,Taiwan,2005,3,7561.6,12204.8,2152.0,,
23,Belgium,2005,2,4650.8,8320.0,1300.0,36967.259183968796,0.889
24,Belarus,2005,1,2032.0,2534.4,576.0,3125.8105350285305,0.725
25,Mexico,2005,3,6078.0,11860.8,2118.0,8089.40903640424,0.728
26,Norway,2005,2,4024.8,7200.0,1000.0,66775.3943971756,0.932
27,Bulgaria,2005,1,1860.4,3328.0,640.0,3869.5294551051093,0.75
28,Indonesia,2005,1,1788.8,3200.0,500.0,1260.92883370077,0.632
29,South Africa,2005,1,1716.5,2304.0,384.0,5277.92545855196,0.614
30,Finland,2005,1,1710.15,1824.0,304.0,38969.171631813,0.895
