,Country,Year,Q1,Q2,Q3,Q4,Top10
0,Japan,1995,29288,25963,18066,13199,13283
1,United States,1995,160951,87957,47803,22577,91783
2,United Kingdom,1995,44183,24773,12039,4187,20526
3,Switzerland,1995,6082,3398,1949,926,3327
4,Germany,1995,24501,18505,13315,6215,11955
5,Canada,1995,18304,11874,6202,2691,9464
6,South Korea,1995,2690,1978,1250,685,1191
7,Netherlands,1995,10840,6214,3082,1221,5789
8,France,1995,19389,13486,8606,3916,9780
9,Sweden,1995,7877,4956,2194,651,3760
10,Denmark,1995,3682,2272,1134,320,1905
11,Italy,1995,13662,9811,5837,2293,6572
12,China,1995,5389,5340,5786,3247,2116
13,Taiwan,1995,3633,2497,1502,535,1610
14,Hong Kong,1995,1318,1002,583,260,602
15,Austria,1995,2462,2015,1094,463,1235
16,Finland,1995,3467,2004,984,272,1750
17,Australia,1995,10616,7373,3640,1022,5013
18,Mexico,1995,1363,1057,619,303,558
19,Singapore,1995,1089,852,434,212,505
20,Slovenia,1995,342,324,194,121,136
21,Spain,1995,8255,5955,3640,1334,3880
22,Norway,1995,2413,1638,868,260,1080
23,Greece,1995,1818,1360,756,270,869
24,Belgium,1995,4486,2818,1635,692,2309
25,Brazil,1995,2342,1913,1310,653,1063
26,Poland,1995,2712,2761,1790,807,1144
