,Country,Year,Q1,Q2,Q3,Q4,Top10
0,Japan,2002,42838,34327,23760,15755,21465
1,United States,2002,201923,104087,66045,39448,117854
2,France,2002,30708,17870,13187,9352,16543
3,United Kingdom,2002,55652,30427,16613,8585,29402
4,Germany,2002,42416,25197,20251,14608,22925
5,Italy,2002,23398,14623,9340,5116,11785
6,Finland,2002,5387,2946,1668,962,2920
7,China,2002,16826,16420,20997,14970,7597
8,Sweden,2002,11328,5970,3008,1384,5970
9,Australia,2002,16431,10317,5744,2882,8115
10,Switzerland,2002,10059,4846,2991,2028,5942
11,Russian Federation,2002,6830,5624,11055,15219,3338
12,South Korea,2002,10034,6999,6202,3214,4849
13,Taiwan,2002,7434,4893,3605,1878,3699
14,Singapore,2002,3093,1993,1263,917,1549
15,Saudi Arabia,2002,582,940,431,223,271
16,Norway,2002,3576,2180,1674,622,1788
17,Hong Kong,2002,4365,2561,1595,799,2249
18,Netherlands,2002,15498,7301,4535,2612,9000
19,Portugal,2002,2520,1659,1239,734,1243
20,Egypt,2002,1265,1249,855,645,503
21,Canada,2002,24362,14261,8845,4961,13178
22,Mexico,2002,3077,2267,2054,1377,1395
23,Thailand,2002,1010,1313,577,372,517
24,Belgium,2002,7466,4215,2675,1802,4076
25,New Zealand,2002,2972,2253,1185,494,1480
26,Spain,2002,16186,10694,8099,3990,8377
27,Austria,2002,4915,3218,2169,1291,2557
28,Brazil,2002,6941,6428,4943,2428,3339
29,South Africa,2002,2177,2196,1462,608,1051
