,Country,Year,Q1,Q2,Q3,Q4,Top10
0,Japan,1996,33290,29200,19092,12718,15908
1,United States,1996,184103,97505,52300,27639,107952
2,United Kingdom,1996,47305,26580,13157,5330,23317
3,France,1996,23842,15234,10352,5801,11995
4,Germany,1996,30926,21393,15796,8938,14958
5,Canada,1996,22281,13544,7346,3320,11765
6,Netherlands,1996,12417,6679,3536,1873,6662
7,Switzerland,1996,7720,4093,2515,1399,4207
8,Australia,1996,12117,8166,4103,1620,5907
9,Finland,1996,4073,2350,1267,525,2006
10,Norway,1996,2755,1805,1321,417,1282
11,Sweden,1996,9059,5357,2411,930,4551
12,Denmark,1996,4306,2449,1327,484,2214
13,Taiwan,1996,4945,3251,2146,875,2425
14,South Korea,1996,4288,2948,2468,1170,2023
15,Italy,1996,16974,12002,7086,3409,7986
16,Israel,1996,5598,3492,1825,673,2963
17,Spain,1996,10659,7424,5066,2150,5098
18,Saudi Arabia,1996,698,882,401,174,339
19,China,1996,7316,7748,9339,6558,3084
20,Hong Kong,1996,2062,1411,849,398,1058
21,Slovenia,1996,498,383,348,273,190
22,Singapore,1996,1360,1163,500,239,653
23,Austria,1996,3265,2445,1466,664,1605
24,South Africa,1996,1628,1629,1063,296,761
25,Poland,1996,3601,3608,3612,1543,1431
26,New Zealand,1996,2354,1742,957,279,1210
27,Egypt,1996,954,970,625,412,406
28,Luxembourg,1996,23,26,12,10,11
