,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,2018,109,533209.1899999997,757357.1002000014,16101360.0,59531.661964344006,0.924
1,China,2018,227,438228.3388800001,806368.2434000004,26632672.0,8826.99409574835,0.752
2,Switzerland,2018,2,23126.75,29347.305,453140.0,80189.6968607849,0.9440000000000001
3,Japan,2018,31,109436.24199999998,170880.04467999996,5710372.0,38428.0973168279,0.909
4,Germany,2018,17,60502.636900000005,86333.95198000001,1575350.0,44469.909060724414,0.9359999999999999
5,South Korea,2018,6,21938.000000000004,35760.55600000001,804740.0,29742.8388613471,0.903
6,Italy,2018,6,31110.65,49243.746,814864.0,31952.9759206841,0.88
7,France,2018,18,43580.345,66598.8372,1792656.0,38476.6586361575,0.9009999999999999
8,Taiwan,2018,2,10325.15,17297.19,197552.0,,
9,United Kingdom,2018,20,41729.303,52509.52460000002,1625892.0,39720.4434267836,0.922
10,Spain,2018,2,7488.8,11781.642,172656.0,28156.8158362352,0.8909999999999999
11,Saudi Arabia,2018,3,10109.13,13858.214000000002,325940.0,20760.9060117662,0.853
12,India,2018,4,8358.996,9472.166000000001,272328.0,1939.61298448814,0.64
13,Canada,2018,9,14027.779999999999,22258.5862,436640.0,45032.1199081697,0.9259999999999999
14,Russian Federation,2018,3,4580.25,7940.005,178180.0,10743.0965915463,0.816
15,Sweden,2018,4,4653.054,6565.116,139408.0,53442.0082808022,0.9329999999999999
16,Australia,2018,5,6669.187999999999,10232.963200000002,257336.0,53799.93808995991,0.9390000000000001
17,Poland,2018,4,4604.365,6216.16,153128.0,13811.664243680802,0.865
18,Netherlands,2018,6,9334.06,11925.503999999999,326880.0,48223.1554941825,0.9309999999999999
19,Ireland,2018,12,19789.320000000003,25436.16,691200.0,69330.6901544912,0.938
20,Singapore,2018,3,4308.219999999999,5525.298999999999,146112.0,57714.2966313778,0.932
21,Czech Republic,2018,1,1457.73,2011.641,76896.0,20368.1385576071,0.888
22,Finland,2018,1,1250.0,1689.2928,40608.0,45703.327865074,0.92
23,Brazil,2018,1,1123.15,1413.12,38400.0,9821.40768641008,0.759
24,South Africa,2018,2,2152.4700000000003,2779.93,71256.0,6160.73456881527,0.6990000000000001
25,Norway,2018,1,953.571,1081.651,32192.0,75504.5662551423,0.953
26,New Zealand,2018,1,908.8919999999999,1425.408,18560.0,42940.5782879727,0.917
