,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,China,2013,63,48549092.87000002,89432561.20000003,4925804.0,7077.7707653955795,0.7290000000000001
1,United States,2013,264,118261596.08999994,169499661.11000007,9837537.0,52782.086508871,0.9159999999999999
2,Japan,2013,28,22472218.0,28925862.009999998,1558880.0,40454.447457890295,0.899
3,Switzerland,2013,5,7765418.0,9632161.600000001,253904.0,85112.4643984141,0.938
4,Germany,2013,20,13696833.5,16426807.08,1033252.0,46530.9114275776,0.9279999999999999
5,France,2013,22,9489912.4,11228571.200000001,720416.0,42592.9515190701,0.889
6,Italy,2013,5,2665609.34,3212697.4,221120.0,35370.2752583755,0.8759999999999999
7,United Kingdom,2013,23,9058328.5,11380215.22,627120.0,42724.0678844007,0.915
8,Australia,2013,5,2180150.82,2635545.92,145036.0,67990.29003047981,0.9309999999999999
9,Spain,2013,2,1199031.0,1357824.0,65280.0,29211.773745593506,0.875
10,Russian Federation,2013,5,1846612.8,3242735.56,166432.0,16007.089993444399,0.804
11,India,2013,12,3040297.0,3812719.16,188252.0,1452.1953732317804,0.607
12,Saudi Arabia,2013,3,1165315.0,1827011.4,128272.0,24934.3861423166,0.8440000000000001
13,Sweden,2013,5,1067766.7,1297036.2,95680.0,60283.24522267,0.912
14,Norway,2013,3,735400.0,873164.4,54400.0,103059.24822759,0.946
15,Canada,2013,10,2077841.4999999998,2627756.04,190752.0,52418.3150618347,0.9109999999999999
16,South Korea,2013,5,1258060.0999999999,1760092.04,154224.0,25890.0186698906,0.893
17,Poland,2013,2,455909.0,583604.6,41852.0,13781.0626053813,0.85
18,Brazil,2013,3,626000.0,1182103.6,58880.0,12216.9044643396,0.748
19,Hong Kong,2013,2,352937.0,658368.0,47520.0,38403.7777145477,0.915
20,Netherlands,2013,3,511071.0,671160.0,47544.0,51574.489418462,0.9229999999999999
21,Finland,2013,2,378000.0,436301.0,20976.0,49638.077129813886,0.912
22,Israel,2013,2,314055.65,736819.0,35424.0,36291.2321104804,0.895
23,Taiwan,2013,1,177100.0,231859.0,26244.0,,
24,Denmark,2013,1,162098.0,183675.84,15672.0,61191.1926260428,0.9309999999999999
25,Austria,2013,1,152900.0,182829.0,20776.0,50716.708706286394,0.897
26,Belgium,2013,1,152347.9,175718.0,8448.0,46582.66955034121,0.9079999999999999
27,Ireland,2013,2,268565.0,343310.0,30996.0,51773.1113695891,0.9109999999999999
