,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,2001,230,77848.10599999988,120192.07000000024,109681.0,37273.6181034176,0.887
1,Japan,2001,57,18383.520000000004,22966.339999999993,11896.0,33846.4656414342,0.8590000000000001
2,Germany,2001,59,12054.080000000002,18076.539999999997,14734.0,23687.3168928198,0.877
3,United Kingdom,2001,34,7236.119999999999,9987.700000000004,7038.0,27427.58750236,0.871
4,Australia,2001,4,1206.51,1573.2,800.0,19482.5679026647,0.9
5,Saudi Arabia,2001,2,772.0,1080.0,720.0,8643.49400482948,0.746
6,France,2001,23,3892.3999999999996,5228.2300000000005,3565.0,22433.555714194503,0.851
7,Hong Kong,2001,1,441.0,636.0,424.0,25230.2163329516,0.835
8,Sweden,2001,5,897.34,1396.3999999999999,1480.0,26969.244574725697,0.9
9,Netherlands,2001,10,1835.0,2503.8000000000006,2190.0,26584.121690627202,0.879
10,Portugal,2001,1,301.0,444.0,296.0,11729.146162981102,0.79
11,Finland,2001,4,809.4,1160.2,924.0,24913.244516358398,0.8640000000000001
12,Canada,2001,11,1622.4000000000003,2181.5899999999997,1681.0,23691.5947188738,0.872
13,Taiwan,2001,4,634.9,824.8,385.0,,
14,Italy,2001,11,1348.43,1884.6,1278.0,20400.8111115225,0.8370000000000001
15,South Korea,2001,16,2281.9,3224.0000000000014,1612.0,11252.907554078301,0.8240000000000001
16,China,2001,3,395.8,563.2,256.0,1053.1082430045199,0.602
17,Brazil,2001,2,392.5,563.2,256.0,3146.94890366357,0.691
18,Belgium,2001,2,295.4,422.40000000000003,192.0,23121.6011440246,0.8759999999999999
19,Norway,2001,2,240.2,316.8,284.0,38549.5893413937,0.9159999999999999
20,Luxembourg,2001,1,137.1,204.8,256.0,48179.4208526047,0.861
21,Spain,2001,2,231.2,332.8,192.0,15323.6113977547,0.828
22,Switzerland,2001,2,238.9,320.0,256.0,38538.9900530944,0.8909999999999999
23,Denmark,2001,2,230.0,333.0,222.0,30751.649460384302,0.8759999999999999
24,Mexico,2001,2,218.0,294.4,256.0,7341.882477822991,0.705
25,New Zealand,2001,1,115.9,168.0,140.0,13882.8568268586,0.873
26,Austria,2001,3,311.2,446.8,268.0,24537.5142629883,0.8490000000000001
27,Russian Federation,2001,1,109.1,158.4,72.0,2100.3623859404197,0.727
28,Venezuela,2001,3,299.0,422.40000000000003,192.0,4926.31133879699,0.68
29,Puerto Rico,2001,1,99.9,140.8,64.0,18123.198701991798,
30,Singapore,2001,1,99.2,140.8,64.0,21577.0782270996,0.8220000000000001
