,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,Japan,2011,30,14224106.390000004,17223334.740000006,1057854.0,48167.9972684965,0.89
1,China,2011,74,10489499.070000006,19377480.399999972,1315608.0,5633.7957168394,0.7140000000000001
2,United States,2011,263,31674460.730000008,46630343.33,4522445.0,49793.713524920095,0.917
3,France,2011,23,3709337.4,4759186.78,458136.0,43790.7353990492,0.884
4,Germany,2011,20,3631255.33,4773673.880000001,612672.0,46810.327958805705,0.9259999999999999
5,Russian Federation,2011,5,1043069.2,1869298.4,75912.0,14351.2120537753,0.789
6,United Kingdom,2011,27,2771502.98,3868494.6399999997,304400.0,41412.3492395708,0.899
7,South Korea,2011,3,907600.0,1065455.04,116472.0,24079.788523886,0.888
8,Switzerland,2011,3,409690.0,607459.2,59968.0,88415.6280609527,0.932
9,Canada,2011,9,1249486.5,1744525.68,137200.0,52082.2107601003,0.905
10,Sweden,2011,3,396460.0,547861.2,63464.0,59593.28711197191,0.9059999999999999
11,Brazil,2011,2,269730.0,330444.8,37184.0,13167.472891753301,0.731
12,Saudi Arabia,2011,3,317470.0,366836.4,77824.0,23770.747386207204,0.823
13,Taiwan,2011,2,247530.0,380195.0,30996.0,,
14,Denmark,2011,2,213464.0,281979.83999999997,25912.0,61753.6600721804,0.922
15,Austria,2011,2,205970.0,241204.0,26248.0,51374.9584066934,0.897
16,Italy,2011,4,426219.0,666698.9400000001,41200.0,38334.6838499718,0.875
17,India,2011,2,187910.0,242995.2,18128.0,1461.67195733892,0.591
18,Poland,2011,6,439119.0,650103.5599999999,50944.0,13893.509259001,0.8390000000000001
19,Australia,2011,4,353753.52,479797.92000000004,35424.0,62411.785447396105,0.925
20,Spain,2011,3,239060.0,380577.44,19704.0,31835.2888008408,0.87
21,Israel,2011,3,213056.56,442031.1599999999,37716.0,33689.8385335933,0.892
22,Finland,2011,1,76510.0,101996.8,10864.0,50790.7241454802,0.907
23,Ireland,2011,3,194814.0,270950.4,24192.0,52186.4962698666,0.895
24,Belgium,2011,1,64597.0,151471.87,16704.0,47702.811894168495,0.904
25,South Africa,2011,1,61330.0,74257.92,6336.0,7976.466077040959,0.657
26,Singapore,2011,1,52633.0,98995.0,9304.0,53237.5649111969,0.914
