,Country,Year,Q1,Q2,Q3,Q4,Top10
0,China,2013,134056,108370,113470,127250,71639
1,United States,2013,322545,167048,93031,58016,194048
2,Japan,2013,49971,38849,28212,23408,27011
3,Switzerland,2013,23433,9678,5807,3932,15083
4,Germany,2013,77630,38542,28303,23939,47373
5,France,2013,54149,27889,18957,19161,33039
6,Italy,2013,47628,29734,17496,11911,25955
7,United Kingdom,2013,95125,48438,28582,18051,56842
8,Australia,2013,44443,25106,12965,7059,26083
9,Spain,2013,41366,22308,16826,12805,24315
10,Russian Federation,2013,9218,7682,13744,19342,4957
11,India,2013,30206,30923,36046,26659,13676
12,Saudi Arabia,2013,5225,5026,3604,1929,2700
13,Sweden,2013,20356,9776,4808,3027,12138
14,Norway,2013,9603,5117,2561,2254,5526
15,Canada,2013,51054,27484,15594,8370,29922
16,South Korea,2013,31362,24304,19461,8988,16665
17,Poland,2013,11612,10761,12553,8891,5448
18,Brazil,2013,20056,18564,19046,12208,10017
19,Hong Kong,2013,8862,4176,2179,1366,5333
20,Netherlands,2013,32983,14108,6777,5077,20788
21,Finland,2013,9451,4978,2766,1897,5628
22,Israel,2013,10200,5400,3009,1518,6212
23,Taiwan,2013,20069,12257,7538,5749,10900
24,Denmark,2013,13149,6109,2827,2438,8194
25,Austria,2013,10812,5712,3981,3292,6428
26,Belgium,2013,16700,8391,4963,3058,10090
27,Ireland,2013,6321,3331,2030,1209,3667
