,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,2009,277,16416075.499999993,24187603.29999999,2817039.0,47001.555349681796,0.91
1,Germany,2009,27,2288765.9000000004,2933697.3000000003,472332.0,41732.707253158,0.917
2,China,2009,21,1379876.9000000001,2536415.4,210640.0,3838.43397176904,0.6940000000000001
3,Russian Federation,2009,8,646245.5,822671.6,77992.0,8562.809598423979,0.7709999999999999
4,South Korea,2009,2,298170.0,338159.0,27768.0,18291.9195978633,0.8690000000000001
5,Saudi Arabia,2009,4,310864.9,370283.0,77920.0,16094.2930975756,0.7959999999999999
6,United Kingdom,2009,45,1569089.2999999993,2457528.1000000006,222300.0,38262.1821338364,0.899
7,Switzerland,2009,5,346885.0,417933.0,52360.0,69927.4687701171,0.927
8,Canada,2009,9,439783.0,661944.8,60340.0,40773.4543637445,0.899
9,India,2009,3,199257.1,279701.8,23416.0,1090.3177645434,0.57
10,France,2009,26,1214250.0000000002,1827023.9,220928.0,41575.4161783031,0.878
11,Japan,2009,16,994211.0,1308591.6,125320.0,40855.1756354596,0.88
12,Sweden,2009,7,300733.50000000006,423616.4,39500.0,46207.0592032962,0.899
13,Italy,2009,6,200688.69999999998,272839.7,21968.0,36976.8455340664,0.868
14,Finland,2009,2,103047.2,151547.4,14584.0,47107.155709070496,0.899
15,Brazil,2009,1,64630.0,72396.8,6464.0,8553.381368256949,0.718
16,Spain,2009,6,205897.2,310011.6,32992.0,32334.0054777912,0.858
17,Netherlands,2009,3,110652.7,155970.2,21336.0,51900.340094845305,0.9059999999999999
18,Norway,2009,2,72454.0,110984.5,11182.0,80067.1766382996,0.938
19,Austria,2009,8,219920.30000000002,266644.3,23222.0,47963.1794023217,0.8859999999999999
20,Poland,2009,3,81391.5,130531.0,13416.0,11527.5932279825,0.828
21,Slovenia,2009,1,36752.5,49152.0,4096.0,24633.7978523083,0.878
22,Hong Kong,2009,1,32325.0,56672.0,5600.0,30697.340383517003,0.898
23,New Zealand,2009,8,233222.0,422649.6,40688.0,28201.2322839936,0.898
24,South Africa,2009,1,25440.0,30860.8,2624.0,5831.1155741887915,0.642
25,Ireland,2009,1,25110.0,28672.0,2560.0,52104.034723116914,0.9059999999999999
26,Israel,2009,2,49340.0,148373.6,13272.0,27709.1175378506,0.882
27,Bulgaria,2009,1,23862.0,27850.0,8192.0,6969.558556683571,0.774
28,Singapore,2009,1,23482.0,28128.0,2400.0,38577.5582156126,0.884
29,Belgium,2009,1,22731.0,42485.4,3984.0,44880.57301962269,0.899
30,Australia,2009,1,21905.7,40960.0,4096.0,42709.8033034787,0.9209999999999999
31,Malaysia,2009,1,20442.4,38223.9,4096.0,7326.744434864591,0.765
