,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,China,2016,171,223571135.67999998,394013391.72,21546512.0,8117.267465431791,0.748
1,United States,2016,171,228032809.47,327303954.90999985,11660816.0,57588.538070582996,0.922
2,Japan,2016,27,54486820.0,77371577.13000001,3946560.0,38972.3406391468,0.907
3,Switzerland,2016,4,12273082.0,18811648.0,328608.0,79866.0318745681,0.943
4,United Kingdom,2016,13,27602596.0,31682369.0,1148968.0,40412.0336199885,0.92
5,Italy,2016,6,14062113.34,21140514.0,606312.0,30668.9814289997,0.878
6,Germany,2016,31,36501434.800000004,45628388.0,1600240.0,42232.5742082948,0.934
7,Saudi Arabia,2016,5,9577663.6,12798147.0,376336.0,19982.085631405902,0.8540000000000001
8,France,2016,20,25398803.0,31727765.2,1158428.0,36870.219134456296,0.899
9,South Korea,2016,4,5679724.6,7597851.0,169696.0,27608.247428711602,0.9
10,Russian Federation,2016,5,4411812.0,6515928.199999999,181070.0,8748.36885284202,0.815
11,Poland,2016,7,6162214.0,8157370.0,208284.0,12415.0432922899,0.86
12,Czech Republic,2016,1,1457730.0,2011641.0,76896.0,18483.7164797716,0.885
13,Sweden,2016,4,3378143.0,4291609.2,123992.0,51844.761261862695,0.932
14,Finland,2016,2,1762018.0,2437631.8,60096.0,43433.032224358,0.9179999999999999
15,Australia,2016,3,2791709.0,3437363.2,154752.0,49896.6811009246,0.938
16,Netherlands,2016,3,2117521.0,2900275.0,79848.0,45637.8867460287,0.9279999999999999
17,Singapore,2016,1,1010000.0,1285939.0,30912.0,55243.132875717696,0.93
18,Spain,2016,1,925058.0,1017036.8,48896.0,26616.757796551006,0.889
19,India,2016,5,3092368.0,4456050.76,133172.0,1717.47387802956,0.636
20,South Africa,2016,1,782886.0,1006387.0,24192.0,5280.017632764911,0.696
21,Canada,2016,1,715551.0,838861.0,65536.0,42348.9454605979,0.922
22,Austria,2016,3,1537298.0,2096230.4,69608.0,44731.010855336106,0.9059999999999999
23,New Zealand,2016,3,1372751.0,2208000.0,55200.0,40331.9591048227,0.915
24,Belgium,2016,1,548000.0,619315.0,16128.0,41260.9775511468,0.915
25,Denmark,2016,2,873135.0,1320480.0,33048.0,53578.7565680928,0.9279999999999999
26,Brazil,2016,3,1225390.0,1549147.0,52624.0,8639.36574344537,0.758
27,Norway,2016,1,396700.0,458598.0,22048.0,70890.0355687386,0.951
28,Ireland,2016,1,365911.0,559411.0,14568.0,64100.4299522762,0.934
