,Country,Year,Q1,Q2,Q3,Q4,Top10
0,China,2015,183730,134421,118478,87121,103464
1,United States,2015,336831,175421,102278,57174,200745
2,Japan,2015,49002,37604,25963,20649,26089
3,Switzerland,2015,25611,10321,5982,4543,15869
4,Germany,2015,82096,40125,28481,24280,47625
5,Saudi Arabia,2015,8428,6723,4650,2229,4536
6,Italy,2015,51454,32324,19276,12526,27043
7,South Korea,2015,36763,26038,18267,9845,19982
8,France,2015,57058,28140,20087,18330,33047
9,Russian Federation,2015,12196,12372,22316,24530,5420
10,Poland,2015,14885,12844,12708,8668,6645
11,United Kingdom,2015,102471,48806,29376,17679,60361
12,Czech Republic,2015,7889,6154,5887,5179,3915
13,Sweden,2015,22639,10814,5158,3005,13365
14,Finland,2015,10792,5431,3016,1525,6258
15,Australia,2015,50510,28022,14996,6779,29279
16,Netherlands,2015,35080,14214,7079,4642,21320
17,Spain,2015,43625,22665,18793,12853,24908
18,India,2015,36996,36625,36047,33723,18062
19,Canada,2015,54809,28576,16625,7839,31747
20,Austria,2015,11998,6331,4256,3313,6947
21,New Zealand,2015,7496,4541,2728,1158,4211
22,Brazil,2015,22914,20551,20593,12610,11129
23,Denmark,2015,15626,7090,3409,1815,9240
24,Norway,2015,10440,5463,2805,2322,5984
25,Mexico,2015,7418,5733,5716,4361,3609
26,Bulgaria,2015,1051,933,1213,1235,505
27,Hungary,2015,4408,3131,2550,1633,2179
28,Hong Kong,2015,9504,4287,2078,1211,6082
29,Croatia,2015,1866,1760,1798,1606,915
