,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,China,2014,61,52105183.29999999,99712561.99999991,5299736.0,7683.502613091179,0.738
1,United States,2014,231,136696801.54999995,195094994.59,10049106.0,54696.726165232685,0.9179999999999999
2,Japan,2014,32,25027460.14,32541972.169999994,1945550.0,38109.4121125573,0.903
3,Switzerland,2014,7,8904372.0,11105800.000000002,294128.0,86605.5633762421,0.9390000000000001
4,Germany,2014,26,20090183.0,25420880.28,1304372.0,48042.5634346518,0.93
5,Italy,2014,3,5430931.34,7201352.0,259840.0,35396.6657242265,0.8740000000000001
6,France,2014,30,14120724.099999998,17081688.2,900440.0,43008.6525700318,0.894
7,Russian Federation,2014,9,4883085.8,7636769.959999999,251502.0,14125.9087274272,0.807
8,United Kingdom,2014,30,15366533.16,19811566.860000003,986080.0,46783.4692171284,0.919
9,Sweden,2014,5,2382972.0,3169138.8000000003,136000.0,59180.1989776727,0.92
10,Finland,2014,3,1870548.0,2419788.8,62768.0,49914.618642158886,0.914
11,Australia,2014,9,4635447.6,8964921.5,395283.0,62327.5559390333,0.9329999999999999
12,Netherlands,2014,5,1835372.7,2460264.0,88080.0,52157.4068701887,0.924
13,Spain,2014,2,1199031.0,1357824.0,65280.0,29623.1644451343,0.88
14,Saudi Arabia,2014,4,1981893.6,2744515.4,169232.0,24575.4030378327,0.852
15,India,2014,9,3137691.8,3912187.16,184124.0,1576.0040181767301,0.618
16,Canada,2014,6,1903949.7999999998,2354783.84,168992.0,50633.2088224323,0.9179999999999999
17,Austria,2014,1,596010.0,681574.4,32768.0,51704.5411875921,0.9009999999999999
18,Denmark,2014,2,572878.0,667515.84,30792.0,62548.9850174371,0.9279999999999999
19,Brazil,2014,4,1031365.0,1594903.6,76080.0,12026.619390631298,0.752
20,Norway,2014,3,735400.0,873164.4,54400.0,97199.9190963458,0.946
21,South Korea,2014,9,2527211.7,3673650.2399999998,219012.0,27811.36638377,0.8959999999999999
22,Poland,2014,2,455909.0,583604.6,41852.0,14342.4020166467,0.8420000000000001
23,Hong Kong,2014,1,234248.0,476928.0,25920.0,40315.2855640552,0.9229999999999999
24,Malaysia,2014,1,201940.5,401600.0,20080.0,11183.729432082,0.79
25,Belgium,2014,1,201374.0,217537.0,11424.0,47351.9741788818,0.909
26,Hungary,2014,1,197210.0,248203.2,3696.0,14201.4488320148,0.833
27,Israel,2014,2,347685.0,860953.6,41392.0,37539.9518166878,0.899
28,Taiwan,2014,1,177100.0,231859.0,26244.0,,
