,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,Japan,1994,82,708.3949999999993,927.72,6479.0,39268.5668686204,0.835
1,United States,1994,242,1341.1450000000036,2430.5570000000043,41344.0,27776.635528226,0.875
2,United Kingdom,1994,24,113.08300000000001,154.24000000000004,1543.0,19709.238098365306,0.8270000000000001
3,Canada,1994,5,49.760000000000005,55.5,27.0,19859.203977836798,0.8590000000000001
4,South Korea,1994,3,16.018,17.903999999999996,24.0,10205.8074659925,0.767
5,France,1994,24,81.39800000000004,125.131,1383.0,23496.523322266603,0.818
6,Switzerland,1994,9,47.706999999999994,67.064,349.0,41843.7568835613,0.8440000000000001
7,Germany,1994,51,148.35,228.01299999999998,4836.0,27087.558453561694,0.8290000000000001
8,Netherlands,1994,8,18.855999999999998,23.769,74.0,24331.7540182404,0.8640000000000001
9,Hong Kong,1994,3,8.474,12.067,156.0,22502.5797409692,0.804
10,Australia,1994,8,15.699000000000002,28.173000000000002,2738.0,18045.4390604354,0.875
11,Mexico,1994,3,6.774,10.829,54.0,5715.409998603211,0.67
12,Greece,1994,2,4.922,6.800000000000001,66.0,11091.2838606376,0.7659999999999999
13,Spain,1994,3,6.72,7.928999999999999,7.0,13378.8498420644,0.7909999999999999
14,Norway,1994,5,9.359,17.052999999999997,2280.0,29315.8419070199,0.885
15,Belgium,1994,1,3.0,4.256,16.0,24338.1377018161,0.845
16,Brazil,1994,2,4.367,5.0,7.0,3494.64054135109,0.64
17,Saudi Arabia,1994,3,5.0169999999999995,6.417999999999999,18.0,7382.13216628019,0.718
18,Finland,1994,1,2.0,2.4,8.0,20305.5835495475,0.809
19,Sweden,1994,6,8.783,20.073,408.0,25747.2416875525,0.8490000000000001
20,Austria,1994,1,1.9,3.05,61.0,25646.700659168397,0.813
21,Slovenia,1994,1,1.746,12.8,64.0,,0.775
22,Italy,1994,3,4.352,8.358,70.0,19273.8441700103,0.794
23,Denmark,1994,3,4.37,6.205,264.0,29995.5652189509,0.8240000000000001
24,Taiwan,1994,4,5.643,8.283999999999999,30.0,,
25,Ireland,1994,1,1.6,2.4,2048.0,15921.9752702003,0.789
26,Turkey,1994,1,1.6,2.128,8.0,2270.3403622467104,0.599
27,Singapore,1994,1,1.3,1.375,1.0,21578.4605325312,0.763
