,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,2000,191881,101625,57521,32640,110732
1,Germany,2000,39473,24847,19050,12181,19820
2,Japan,2000,41147,34946,22599,14229,19679
3,United Kingdom,2000,56663,30642,15720,7243,29124
4,Hong Kong,2000,3393,2249,1395,636,1735
5,Sweden,2000,10583,5772,2951,1652,5423
6,Finland,2000,5201,2850,1442,700,2641
7,Austria,2000,4424,2961,1781,922,2252
8,France,2000,28678,17120,12423,7533,15083
9,Australia,2000,14788,9580,5365,2212,7232
10,Canada,2000,23108,13639,7685,3643,12310
11,Italy,2000,21486,13802,7703,4160,10243
12,Saudi Arabia,2000,608,842,381,200,287
13,South Korea,2000,7961,5886,4392,1981,3566
14,Taiwan,2000,6190,4055,3058,1363,3053
15,Luxembourg,2000,53,39,24,9,18
16,Denmark,2000,5561,2907,1791,570,2891
17,Netherlands,2000,14575,6771,3810,2170,8069
18,Mexico,2000,2803,1938,1496,1002,1233
19,New Zealand,2000,2812,2108,1116,457,1445
20,Switzerland,2000,9480,4669,2826,1713,5454
21,Belgium,2000,6758,3753,2420,1541,3514
22,Brazil,2000,5861,5166,3572,1906,2623
23,Spain,2000,13917,9512,6499,3011,6801
24,Norway,2000,3342,2092,1489,506,1571
25,Israel,2000,6448,4232,2136,866,3414
26,Hungary,2000,2235,1856,1409,687,939
27,Poland,2000,4698,4532,4301,2092,1913
