,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,Japan,2002,47,57902.39999999999,68621.09999999999,17331.0,32289.350536072598,0.862
1,United States,2002,228,148427.81999999975,241928.6100000005,134404.0,38166.0378407812,0.889
2,France,2002,22,9644.499999999995,13341.630000000006,6543.0,24177.3351674642,0.853
3,United Kingdom,2002,39,20644.79999999999,38185.99999999997,17144.0,29785.986287584,0.8740000000000001
4,Germany,2002,71,25468.79999999997,39624.899999999936,17778.0,25205.164445175,0.883
5,Italy,2002,16,5525.800000000002,9043.200000000003,2664.0,22196.506754722202,0.8420000000000001
6,Finland,2002,4,1847.4,3221.2,1308.0,26834.0262501804,0.867
7,China,2002,5,1899.1,3472.0,960.0,1148.5082904417,0.611
8,Sweden,2002,5,2256.4400000000005,3795.2,1824.0,29571.7044643283,0.902
9,Australia,2002,3,1410.3000000000002,2040.0,720.0,20074.2293129481,0.903
10,Switzerland,2002,1,736.6,1331.2,256.0,41376.3939853959,0.8909999999999999
11,Russian Federation,2002,1,734.6,1024.0,768.0,2375.05904394498,0.732
12,South Korea,2002,9,2569.2,4550.2,1284.0,12782.5255346669,0.8320000000000001
13,Taiwan,2002,3,1019.5,1830.4,425.0,,
14,Singapore,2002,2,855.0,1516.8,400.0,22016.832791636803,0.83
15,Saudi Arabia,2002,3,1098.0,3394.0,2768.0,8655.31153127218,0.748
16,Norway,2002,3,1006.3,1497.6,992.0,43061.150381241605,0.9179999999999999
17,Hong Kong,2002,2,796.5,1236.0,724.0,24665.8899982779,0.8420000000000001
18,Netherlands,2002,6,2036.4,4270.6,3600.0,28817.3232079888,0.878
19,Portugal,2002,1,393.0,570.0,380.0,12882.288973030802,0.792
20,Egypt,2002,3,800.3,2757.4,2560.0,1210.22924881689,0.62
21,Canada,2002,5,1166.0,1792.1,1136.0,24167.8043060561,0.877
22,Mexico,2002,5,1078.2,2060.8,1600.0,7398.80102021328,0.71
23,Thailand,2002,3,679.0,966.4000000000001,416.0,2096.05461742145,0.6659999999999999
24,Belgium,2002,4,884.1000000000001,1308.8000000000002,528.0,25052.339390085497,0.879
25,New Zealand,2002,1,234.8,457.5,132.0,16874.1874918196,0.8809999999999999
26,Spain,2002,2,410.4,595.2,240.0,17019.535413660502,0.83
27,Austria,2002,1,204.5,472.0,160.0,26401.7454564357,0.838
28,Brazil,2002,3,589.8,822.4,400.0,2819.6481201182,0.698
29,South Africa,2002,2,394.0,540.8,272.0,2461.35508651066,0.617
