,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,2018,325109,177305,86574,40090,192229
1,China,2018,248929,148628,100426,49921,142875
2,Switzerland,2018,26332,10957,5297,2749,16759
3,Japan,2018,47297,38518,23235,14438,25537
4,Germany,2018,82462,42457,23020,18741,48527
5,South Korea,2018,37220,25014,14365,6887,22526
6,Italy,2018,54194,34154,17172,8673,29377
7,France,2018,55592,28871,15823,11269,32686
8,Taiwan,2018,16900,10051,5180,2389,9731
9,United Kingdom,2018,107311,51097,25471,11359,63416
10,Spain,2018,45793,24111,14946,10010,27027
11,Saudi Arabia,2018,9228,7065,4444,1910,4985
12,India,2018,41075,40718,37365,29987,18454
13,Canada,2018,56252,30404,14845,5299,32416
14,Russian Federation,2018,14159,12631,21056,21858,6889
15,Sweden,2018,24128,11088,4295,1943,14569
16,Australia,2018,56180,28851,13589,4311,33074
17,Poland,2018,16060,13370,9388,6400,8046
18,Netherlands,2018,36098,15588,6809,2956,21705
19,Ireland,2018,7877,3973,2059,818,4402
20,Singapore,2018,11755,4798,2169,765,7841
21,Czech Republic,2018,8481,5981,4156,3003,4696
22,Finland,2018,10940,5458,2418,930,6578
23,Brazil,2018,28888,23306,17118,8110,14759
24,South Africa,2018,9439,7112,4445,2176,4841
25,Norway,2018,12291,6086,2825,1513,7296
26,New Zealand,2018,8179,4788,2276,912,4590
