,Country,Year,Q1,Q2,Q3,Q4,Top10
0,China,2016,204437,137636,118002,81038,113802
1,United States,2016,335217,179570,103375,59088,201603
2,Japan,2016,50468,38842,27596,20612,27360
3,Switzerland,2016,26057,10801,6072,4700,16594
4,United Kingdom,2016,104235,51414,30175,18755,62415
5,Italy,2016,53367,32955,21342,13451,29973
6,Germany,2016,83620,41573,30939,26894,50782
7,Saudi Arabia,2016,8830,6491,5429,2382,5095
8,France,2016,57304,28603,20605,19454,35095
9,South Korea,2016,36469,28429,18267,8078,20879
10,Russian Federation,2016,12084,13185,25280,27046,6278
11,Poland,2016,15176,13730,13139,9405,7669
12,Czech Republic,2016,8158,6329,5649,5355,4510
13,Sweden,2016,23534,11153,5252,3122,14198
14,Finland,2016,10798,5455,3026,1584,6395
15,Australia,2016,52442,28265,14730,7097,30797
16,Netherlands,2016,35635,14992,7445,5226,21757
17,Singapore,2016,11346,4744,2881,1477,7673
18,Spain,2016,44466,22539,18937,13254,26907
19,India,2016,37438,34817,36970,28915,19090
20,South Africa,2016,9344,6517,4916,2624,4654
21,Canada,2016,55053,29650,17257,8440,32191
22,Austria,2016,12440,6311,4499,3354,7515
23,New Zealand,2016,7850,4702,2740,1243,4413
24,Belgium,2016,18444,8672,5175,3460,11199
25,Denmark,2016,16238,7372,3553,2110,9833
26,Brazil,2016,25630,22081,21228,13661,13301
27,Norway,2016,11383,5756,3179,2341,6438
28,Ireland,2016,7184,3653,2330,1486,4216
