,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,Japan,2003,32,62672.19999999999,80705.0,15661.0,34808.3909176613,0.865
1,United States,2003,246,298168.732,530840.9799999995,172801.0,39677.1983481058,0.893
2,China,2003,10,10791.321000000002,18481.76,3950.0,1288.64325183381,0.623
3,France,2003,16,14867.483000000002,26160.8,8304.0,29568.385949667998,0.857
4,United Kingdom,2003,33,29607.731999999993,55720.80000000001,15192.0,34173.9799764342,0.878
5,South Korea,2003,14,10686.400000000005,19171.0,4304.0,14209.3885192557,0.8390000000000001
6,Canada,2003,8,8460.034,18549.76,3482.0,28172.148830908398,0.882
7,Germany,2003,36,25558.486000000008,41611.66,11904.0,30359.952152566602,0.889
8,Netherlands,2003,7,4372.299999999999,6099.0,2272.0,35245.1640746805,0.883
9,New Zealand,2003,4,4429.2,14022.4,2576.0,21913.708171996102,0.884
10,Italy,2003,17,10088.600000000004,16915.84,3944.0,27387.2263150177,0.847
11,Mexico,2003,4,4406.049999999999,12756.8,2374.0,6903.94918769848,0.7170000000000001
12,Finland,2003,3,1986.4,3597.0,896.0,32816.160880213996,0.87
13,Israel,2003,1,1143.46,3360.0,600.0,18964.223643652098,0.865
14,Sweden,2003,5,2938.161,4861.16,1869.0,36961.4253671424,0.9079999999999999
15,India,2003,2,1700.16,3888.0,854.0,541.13522787231,0.517
16,Australia,2003,6,4928.719,7695.48,1724.0,23437.3121454327,0.904
17,Saudi Arabia,2003,9,6246.549999999999,14432.639999999998,2866.0,9567.45828531486,0.7559999999999999
18,Switzerland,2003,3,2387.7,4448.0,944.0,48087.5831393144,0.8959999999999999
19,Malaysia,2003,3,2137.417,5280.0,1100.0,4463.67589342594,0.731
20,Taiwan,2003,5,3301.1,5347.2,1132.0,,
21,Singapore,2003,4,2378.3329999999996,4038.3999999999996,800.0,23573.628038850602,0.838
22,Oman,2003,1,822.8530000000001,1843.2,384.0,9069.810206054659,0.736
23,Russian Federation,2003,2,1173.2,1792.0,1024.0,2975.1327783492493,0.74
24,Spain,2003,6,2988.6769999999997,4416.0,1064.0,21495.7074076474,0.833
25,Poland,2003,1,641.6,1331.2,256.0,5693.377763225971,0.804
26,Indonesia,2003,1,638.8,1433.6,256.0,1064.50944713681,0.624
27,Hong Kong,2003,3,1497.9,2741.6,872.0,23977.0194516698,0.851
28,Brazil,2003,3,1545.0,2508.8,640.0,3059.58650690802,0.695
29,Norway,2003,3,1488.0,2048.0,768.0,50111.654449452195,0.924
30,Austria,2003,1,504.3,971.0,192.0,32222.897241165498,0.8420000000000001
31,Denmark,2003,2,903.4,1184.0,256.0,40458.7706402839,0.894
32,South Africa,2003,2,871.3,1456.0,416.0,3678.10281680867,0.615
33,Belgium,2003,2,853.6,1440.0,448.0,30743.9025377208,0.882
34,Belarus,2003,1,423.6,716.8,128.0,1819.7660592617701,0.705
35,Czech Republic,2003,1,408.2,672.0,192.0,9773.117502512807,0.8220000000000001
36,Luxembourg,2003,1,408.2,672.0,192.0,65445.88503074071,0.8640000000000001
37,Portugal,2003,1,408.2,672.0,192.0,15772.7333950542,0.7959999999999999
38,Ireland,2003,1,408.2,672.0,192.0,41107.0310569661,0.88
