,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,1998,182310,96120,56008,30929,104983
1,United Kingdom,1998,51972,28212,13989,6096,25526
2,Germany,1998,36443,23876,17718,10486,17805
3,Japan,1998,37495,31394,21132,13934,17945
4,Canada,1998,21471,13621,7521,3385,11323
5,France,1998,27069,16754,11483,6432,13803
6,Italy,1998,18336,12532,7437,3494,8718
7,Finland,1998,4607,2560,1300,620,2382
8,Sweden,1998,9826,5688,2741,1545,5028
9,South Korea,1998,5944,4218,3598,1414,2627
10,Australia,1998,13422,8901,4786,1817,6488
11,Norway,1998,3176,2017,1556,420,1453
12,Netherlands,1998,13468,7255,3648,1873,7238
13,Denmark,1998,5038,2776,1874,503,2648
14,Switzerland,1998,9043,4414,2645,1446,4998
15,Mexico,1998,2348,1753,1206,890,1103
16,Spain,1998,12553,8231,6245,2796,6005
17,Belgium,1998,6263,3742,2444,1336,3211
18,Hong Kong,1998,2791,1897,1169,518,1405
19,Taiwan,1998,5511,3617,2482,1037,2671
20,Russian Federation,1998,6371,6060,9963,12436,2613
