,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,2006,250485,131280,82572,52234,145225
1,Spain,2006,23532,14129,12206,7738,12574
2,France,2006,37973,21541,16854,14072,20508
3,Japan,2006,46849,36486,27322,19430,23577
4,Germany,2006,52762,29454,25150,20363,28685
5,United Kingdom,2006,68977,38068,22522,13941,36639
6,Netherlands,2006,20862,9617,5889,3615,12062
7,Switzerland,2006,14532,6698,4733,3141,8475
8,South Korea,2006,15659,11556,13417,7739,7628
9,Italy,2006,31328,19156,12563,8021,15948
10,China,2006,41944,44157,69266,56422,19274
11,Australia,2006,22730,14715,8742,4744,11921
12,Finland,2006,6710,3676,2176,1392,3550
13,Norway,2006,5697,2971,2191,1080,2974
14,Canada,2006,35532,20407,12744,7293,19418
15,Russian Federation,2006,7035,5663,10324,16453,3451
16,Malaysia,2006,962,1232,1162,921,423
17,Mexico,2006,4319,3115,3128,2663,2029
18,Sweden,2006,13728,7158,3777,2385,7312
19,United Arab Emirates,2006,428,371,271,152,188
20,Belgium,2006,10210,5446,3759,2595,5630
21,India,2006,15326,15296,13330,8858,6462
22,Saudi Arabia,2006,734,981,560,381,291
23,Israel,2006,8225,4881,3008,1403,4550
24,New Zealand,2006,4231,3211,1652,835,2187
25,Brazil,2006,10633,10928,10487,5146,4720
26,Singapore,2006,5220,2999,2064,1303,2877
27,Turkey,2006,7199,8870,7043,3256,2765
28,Ireland,2006,3529,2102,1538,857,1858
29,South Africa,2006,3162,2847,2085,1110,1577
30,Denmark,2006,7576,3887,2509,976,4116
31,Taiwan,2006,12666,7820,6038,3638,6438
