,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,2001,194334,100900,60008,34136,113592
1,Japan,2001,41426,33345,22882,14973,21067
2,Germany,2001,40991,24304,19912,13795,21562
3,United Kingdom,2001,54624,29340,15782,7516,28658
4,Australia,2001,15524,10063,5679,2682,7687
5,Saudi Arabia,2001,604,812,391,245,257
6,France,2001,29460,16867,12708,8706,15910
7,Hong Kong,2001,4059,2499,1546,806,2051
8,Sweden,2001,10995,5835,3044,1832,5754
9,Netherlands,2001,14723,7019,4106,2224,8195
10,Portugal,2001,2273,1527,1043,596,1070
11,Finland,2001,5292,2897,1674,904,2829
12,Canada,2001,23414,13553,7951,3838,12644
13,Taiwan,2001,7120,4606,3236,1654,3526
14,Italy,2001,22071,13972,8783,4675,11073
15,South Korea,2001,9130,6427,5062,2408,4392
16,China,2001,14359,15999,21562,13511,6137
17,Brazil,2001,6166,5398,4346,2134,2865
18,Belgium,2001,7063,3891,2543,1600,3738
19,Norway,2001,3593,2092,1619,571,1770
20,Luxembourg,2001,59,49,30,11,34
21,Spain,2001,15079,9925,7404,3568,7573
22,Switzerland,2001,9808,4517,2944,1829,5764
23,Denmark,2001,5654,2856,1827,624,3082
24,Mexico,2001,2859,2150,1847,1239,1338
25,New Zealand,2001,2870,2164,1106,479,1460
26,Austria,2001,4653,3075,2015,1159,2378
27,Russian Federation,2001,6822,5601,10858,14173,3288
28,Venezuela,2001,460,437,333,330,240
29,Puerto Rico,2001,239,133,68,60,129
30,Singapore,2001,2804,1933,1338,796,1371
