,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,United States,1997,265,8782.127999999995,13183.217999999948,41984.0,31572.6902298492,0.8809999999999999
1,United Kingdom,1997,24,1137.4859999999999,1691.2760000000003,2720.0,26621.4800592777,0.8490000000000001
2,Japan,1997,91,3445.1200000000003,4296.280999999996,9520.0,35021.719091715895,0.848
3,Germany,1997,43,1671.53,2541.672999999999,4197.0,27045.719127331802,0.8440000000000001
4,France,1997,20,553.6270000000002,828.4200000000004,1929.0,24228.942350896406,0.8340000000000001
5,Canada,1997,3,164.10999999999999,174.896,136.0,21770.1340814172,0.862
6,Finland,1997,1,101.0,168.0,224.0,24676.4970769622,0.8320000000000001
7,Sweden,1997,7,197.63,278.50600000000003,613.0,29897.7926311935,0.8740000000000001
8,South Korea,1997,9,183.80999999999997,255.078,363.0,12131.874704259199,0.8
9,Italy,1997,3,75.75999999999999,111.84,184.0,21779.6243667018,0.8140000000000001
10,Norway,1997,3,73.06,102.72,216.0,36628.5174155741,0.894
11,Netherlands,1997,8,129.98999999999998,166.49099999999999,320.0,26404.986730145,0.865
12,Denmark,1997,1,31.1,32.0,16.0,32835.9287666102,0.843
13,Switzerland,1997,6,113.20000000000002,145.70999999999998,851.0,40417.9622817609,0.8640000000000001
14,Australia,1997,2,39.08,43.96,45.0,23468.5968306374,0.889
15,Russian Federation,1997,1,20.3,24.0,48.0,2737.55666234068,0.7040000000000001
16,Spain,1997,4,65.78,88.32000000000001,196.0,14696.2161077085,0.81
17,Taiwan,1997,1,15.23,21.28,80.0,,
18,Liechtenstein,1997,1,15.01,23.04,32.0,72190.7905862245,
19,Brazil,1997,2,27.93,35.2,72.0,5271.41222246603,0.664
20,Israel,1997,2,23.28,29.024,88.0,19658.1326309076,0.835
21,Mexico,1997,2,21.619999999999997,25.48,58.0,5143.961120073879,0.6829999999999999
22,South Africa,1997,1,10.35,12.0,24.0,3495.11122228324,0.644
