,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,China,2010,41,5688791.999999998,11609730.09999999,622428.0,4560.5125860092885,0.706
1,United States,2010,274,22295273.600000024,31483945.69999998,3537061.0,48375.4069462972,0.914
2,Japan,2010,26,2903675.8,4605248.400000001,416782.0,44507.6763859172,0.885
3,France,2010,26,2874898.9999999995,3639726.1999999997,417264.0,40638.33400426,0.882
4,Germany,2010,26,2721354.4,3504850.2000000007,500416.0,41785.556912554,0.9209999999999999
5,Russian Federation,2010,11,867729.7,1143792.7,102184.0,10674.987707365,0.78
6,South Korea,2010,3,907600.0,1065455.0,116472.0,22086.952919320098,0.884
7,United Kingdom,2010,25,1550664.7999999998,2258562.6000000006,206440.0,38893.0184937365,0.905
8,Brazil,2010,2,269730.0,330444.8,37184.0,11224.1540829355,0.727
9,Saudi Arabia,2010,6,437434.9,514297.0,90208.0,19259.5872568465,0.8079999999999999
10,Switzerland,2010,4,317895.0,383373.0,49480.0,74605.7210207051,0.932
11,Canada,2010,6,422401.2,629706.9,56836.0,47447.4760241936,0.902
12,India,2010,4,257243.0,333005.0,25808.0,1345.77015320926,0.581
13,Australia,2010,4,315738.7,444622.0,30744.0,51936.888711646105,0.9229999999999999
14,Sweden,2010,6,367030.0,476086.69999999995,50488.0,52076.2559134864,0.905
15,Poland,2010,6,285440.5,398080.19999999995,39480.0,12599.5335818707,0.835
16,Italy,2010,6,254075.8,336456.49999999994,27680.0,35849.3731979401,0.87
17,Finland,2010,1,76510.0,101997.0,10864.0,46202.4151628454,0.903
18,Spain,2010,3,138513.0,211741.4,22496.0,30736.6278530812,0.865
19,Netherlands,2010,2,83202.7,121563.8,9048.0,50338.2548273725,0.91
20,Denmark,2010,2,82587.0,156139.5,13908.0,58041.4112245601,0.91
21,Belgium,2010,2,83840.0,151471.8,16704.0,44380.1766327308,0.903
22,Norway,2010,3,107747.5,177366.6,16846.0,87770.26684434009,0.9420000000000001
23,Slovenia,2010,1,36752.5,49152.0,4096.0,23437.472021138707,0.882
24,Ireland,2010,1,36560.0,40857.6,3840.0,48671.8882936068,0.909
25,Austria,2010,1,35480.0,38836.0,3650.0,46858.0432733717,0.895
26,Singapore,2010,2,64957.4,95330.0,8640.0,46569.6795060716,0.909
27,Hong Kong,2010,1,32325.0,56672.0,5600.0,32549.998231121,0.9009999999999999
28,New Zealand,2010,5,157639.0,296800.0,29680.0,33692.0108346543,0.899
