,Country,Year,Q1,Q2,Q3,Q4,Top10
0,Japan,2011,47535,36689,29627,22682,25571
1,China,2011,92913,86253,125529,79538,47252
2,United States,2011,291926,153951,99995,60481,172998
3,France,2011,49159,24462,20443,17407,28468
4,Germany,2011,68955,34388,29565,23379,39829
5,Russian Federation,2011,7628,6174,11784,21048,3948
6,United Kingdom,2011,81818,43944,28686,17268,46272
7,South Korea,2011,26080,19321,17541,7995,13534
8,Switzerland,2011,20256,8407,5905,3557,12481
9,Canada,2011,45090,24861,15776,8688,25346
10,Sweden,2011,17059,8338,4898,3056,9784
11,Brazil,2011,15788,16088,17125,9501,7345
12,Saudi Arabia,2011,3074,2798,2323,1467,1520
13,Taiwan,2011,19022,10872,8135,4565,10473
14,Denmark,2011,10783,5182,3543,1392,6177
15,Austria,2011,9374,5301,3983,2773,5192
16,Italy,2011,40549,24518,16500,10363,21446
17,India,2011,23764,24287,27035,20750,10699
18,Poland,2011,9242,8465,9964,8777,4078
19,Australia,2011,34740,20203,12109,6448,19103
20,Spain,2011,35558,18988,16250,11721,20266
21,Israel,2011,9359,5141,3134,1514,5509
22,Finland,2011,8224,4370,2801,1566,4602
23,Ireland,2011,5789,3153,2365,1208,3264
24,Belgium,2011,14561,7307,5042,3056,8341
25,South Africa,2011,5061,4384,3263,2031,2624
26,Singapore,2011,7805,3777,2401,1312,5116
