,Country,Year,Q1,Q2,Q3,Q4,Top10
0,Japan,1993,26065,23078,15247,11342,11695
1,United States,1993,150860,79289,40718,17084,87531
2,Canada,1993,16991,10696,5396,1922,8898
3,United Kingdom,1993,39633,22026,9925,3177,18304
4,South Korea,1993,1651,1121,714,416,704
5,France,1993,16659,11104,8026,3005,8313
6,Germany,1993,20756,16023,11666,4958,9929
7,Netherlands,1993,9528,5404,2776,989,5030
8,Switzerland,1993,5551,2946,1639,738,3021
9,Brazil,1993,1860,1423,927,454,803
10,Spain,1993,6989,4659,3145,1052,3346
11,Australia,1993,9392,6267,2780,674,4302
12,Taiwan,1993,2692,1584,1052,353,1248
13,Norway,1993,1925,1309,743,177,879
14,Austria,1993,2001,1649,1014,394,1004
15,Denmark,1993,3192,1939,881,226,1636
16,Italy,1993,11687,8581,5033,1784,5672
17,Mexico,1993,917,689,387,202,432
18,Finland,1993,2975,1653,735,195,1472
19,Sweden,1993,6663,4082,1759,474,3313
20,Slovenia,1993,266,228,186,78,102
21,Belgium,1993,3703,2301,1236,504,1915
22,Greece,1993,1379,1045,570,198,654
