,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,1999,183118,97097,56686,31745,105042
1,Japan,1999,38672,32254,21796,14283,18581
2,Germany,1999,38039,23594,17828,11157,19422
3,United Kingdom,1999,52881,28497,14314,6311,26808
4,France,1999,27837,16826,11915,6953,14376
5,Italy,1999,19581,12243,7271,3443,9499
6,Canada,1999,22009,13142,7362,3385,11647
7,Taiwan,1999,5717,3786,2661,1171,2697
8,Finland,1999,4796,2556,1383,632,2452
9,South Korea,1999,6940,4900,4066,2054,3064
10,Sweden,1999,10216,5651,2767,1607,5211
11,New Zealand,1999,2733,2131,1091,417,1364
12,Netherlands,1999,13615,6594,3533,1839,7529
13,Switzerland,1999,9364,4570,2698,1645,5248
14,Australia,1999,13964,9161,4658,1973,6781
15,Belgium,1999,6438,3859,2516,1455,3440
16,Israel,1999,6041,3786,1970,801,3178
17,Norway,1999,3212,1979,1300,400,1493
18,Austria,1999,4055,2791,1742,985,2017
19,China,1999,10775,11323,13612,8649,4358
20,Luxembourg,1999,40,25,11,5,20
21,Mexico,1999,2475,1935,1507,1079,1106
22,Denmark,1999,5164,2692,1701,531,2787
