,Country,Year,Q1,Q2,Q3,Q4,Top10
0,Japan,1994,28418,24493,17630,12484,13074
1,United States,1994,159247,84737,44222,19386,92067
2,United Kingdom,1994,41833,23550,11551,3966,19657
3,Canada,1994,18532,11707,6321,2413,9565
4,South Korea,1994,2100,1465,1033,546,983
5,France,1994,18531,12669,8497,3663,9541
6,Switzerland,1994,6008,3465,1948,835,3363
7,Germany,1994,23175,17116,12677,6096,11193
8,Netherlands,1994,10263,5868,3132,1170,5439
9,Hong Kong,1994,1050,817,413,165,476
10,Australia,1994,10014,6737,3168,877,4699
11,Mexico,1994,1113,803,475,211,481
12,Greece,1994,1635,1161,705,281,716
13,Spain,1994,7542,5321,3343,1161,3617
14,Norway,1994,2251,1409,803,283,1087
15,Belgium,1994,4262,2561,1499,667,2297
16,Brazil,1994,2102,1621,1139,521,917
17,Saudi Arabia,1994,534,604,322,86,262
18,Finland,1994,3264,1864,900,277,1625
19,Sweden,1994,7374,4536,2083,674,3690
20,Austria,1994,2248,1911,1061,437,1103
21,Slovenia,1994,289,306,210,107,117
22,Italy,1994,13136,9362,5577,2046,6299
23,Denmark,1994,3568,2247,1087,375,1873
24,Taiwan,1994,3266,2262,1415,475,1429
25,Ireland,1994,1082,717,369,109,497
26,Turkey,1994,975,1014,725,290,410
27,Singapore,1994,1025,723,386,130,468
