"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2006",309,2270990.4700000016,3325500.4600000046,686362,46437.067117306506,0.9009999999999999,250485,131280,82572,52234,145225,"cluster_0"
"Country: Japan","Year: 2006",30,286673.50999999995,398634.4,70757,35433.988963742995,0.877,46849,36486,27322,19430,23577,"cluster_2"
"Country: United Kingdom","Year: 2006",30,186419.69000000006,307944.12,49812,44252.3158234429,0.889,68977,38068,22522,13941,36639,"cluster_2"
"Country: Germany","Year: 2006",18,145407.44000000003,188556.28,37784,36447.8723183195,0.9109999999999999,52762,29454,25150,20363,28685,"cluster_2"
"Country: China","Year: 2006",18,72192.15999999999,122934.4,20374,2099.22943460447,0.6609999999999999,41944,44157,69266,56422,19274,"cluster_2"
"Country: France","Year: 2006",12,99870.5,140127.2,28080,36443.6234414411,0.8740000000000001,37973,21541,16854,14072,20508,"cluster_1"
"Country: India","Year: 2006",10,34162.36,61520.0,10908,792.025969759363,0.545,15326,15296,13330,8858,6462,"cluster_1"
"Country: Italy","Year: 2006",8,39171.74,68663.68,12616,33410.7474398337,0.862,31328,19156,12563,8021,15948,"cluster_1"
"Country: Canada","Year: 2006",8,37316.6,61905.6,11184,40386.6994835116,0.895,35532,20407,12744,7293,19418,"cluster_1"
"Country: Spain","Year: 2006",7,91600.19999999997,137926.40000000002,15208,28482.6094833461,0.848,23532,14129,12206,7738,12574,"cluster_1"
"Country: South Korea","Year: 2006",6,33715.3,49347.6,7764,20888.3801505326,0.862,15659,11556,13417,7739,7628,"cluster_1"
"Country: Switzerland","Year: 2006",5,47682.0,60291.2,15388,57579.5019538093,0.912,14532,6698,4733,3141,8475,"cluster_1"
"Country: Brazil","Year: 2006",4,13668.380000000001,24871.88,3780,5860.145829417521,0.7020000000000001,10633,10928,10487,5146,4720,"cluster_1"
"Country: Australia","Year: 2006",4,20670.9,30961.36,4888,36019.203051188,0.9109999999999999,22730,14715,8742,4744,11921,"cluster_1"
"Country: Saudi Arabia","Year: 2006",4,11965.699999999999,24518.4,3936,15334.6699396085,0.777,734,981,560,381,291,"cluster_1"
"Country: Malaysia","Year: 2006",3,12124.66,21160.0,3554,6222.9829548197495,0.737,962,1232,1162,921,423,"cluster_1"
"Country: Norway","Year: 2006",3,17472.71,26956.8,3008,74114.697150083,0.9359999999999999,5697,2971,2191,1080,2974,"cluster_1"
"Country: Russian Federation","Year: 2006",2,9704.529999999999,15874.4,2460,6920.194397836079,0.759,7035,5663,10324,16453,3451,"cluster_1"
"Country: Israel","Year: 2006",2,7510.0,16224.0,2584,21827.8231724236,0.872,8225,4881,3008,1403,4550,"cluster_1"
"Country: Netherlands","Year: 2006",2,31113.5,40960.0,13312,44453.97119462121,0.897,20862,9617,5889,3615,12062,"cluster_1"
"Country: Singapore","Year: 2006",2,6324.3,7827.2,1168,33579.8594757016,0.871,5220,2999,2064,1303,2877,"cluster_1"
"Country: South Africa","Year: 2006",2,5696.0,10752.0,3072,5506.196503014648,0.616,3162,2847,2085,1110,1577,"cluster_1"
"Country: Taiwan","Year: 2006",2,5534.6,9900.8,1768,,,12666,7820,6038,3638,6438,"cluster_1"
"Country: Mexico","Year: 2006",1,5090.0,7072.0,1360,8859.71535391932,0.736,4319,3115,3128,2663,2029,"cluster_1"
"Country: Sweden","Year: 2006",1,4999.0,6025.0,886,46256.4716010495,0.902,13728,7158,3777,2385,7312,"cluster_1"
"Country: United Arab Emirates","Year: 2006",1,4713.0,5734.0,2048,42372.2216623658,0.83,428,371,271,152,188,"cluster_1"
"Country: Belgium","Year: 2006",1,4492.8,8320.0,1300,38852.3729277437,0.8959999999999999,10210,5446,3759,2595,5630,"cluster_1"
"Country: Finland","Year: 2006",1,8200.2,10649.0,2048,41120.6765061581,0.899,6710,3676,2176,1392,3550,"cluster_1"
"Country: New Zealand","Year: 2006",1,3755.0,7200.0,1000,26671.3294177179,0.8909999999999999,4231,3211,1652,835,2187,"cluster_1"
"Country: Turkey","Year: 2006",1,3288.1,5219.2,560,8034.60667553683,0.701,7199,8870,7043,3256,2765,"cluster_1"
"Country: Ireland","Year: 2006",1,3142.0,4646.0,968,54306.9131006241,0.902,3529,2102,1538,857,1858,"cluster_1"
"Country: Denmark","Year: 2006",1,2791.0,5324.8,1024,52026.9931124155,0.905,7576,3887,2509,976,4116,"cluster_1"
