"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2009",277,1.6416075499999993E7,2.418760329999999E7,2817039,47001.555349681796,0.91,271318,145231,93153,56027,158398,"cluster_0"
"Country: United Kingdom","Year: 2009",45,1569089.2999999993,2457528.1000000006,222300,38262.1821338364,0.899,76423,42096,26146,15538,42093,"cluster_1"
"Country: Germany","Year: 2009",27,2288765.9000000004,2933697.3000000003,472332,41732.707253158,0.917,60819,32263,27947,22297,34751,"cluster_1"
"Country: France","Year: 2009",26,1214250.0000000002,1827023.9,220928,41575.4161783031,0.878,44761,23336,19986,17065,25525,"cluster_1"
"Country: China","Year: 2009",21,1379876.9000000001,2536415.4,210640,3838.43397176904,0.6940000000000001,68832,66090,90312,69100,35169,"cluster_1"
"Country: Japan","Year: 2009",16,994211.0,1308591.6,125320,40855.1756354596,0.88,46230,36371,30778,21591,24427,"cluster_2"
"Country: Canada","Year: 2009",9,439783.0,661944.8,60340,40773.4543637445,0.899,41681,24002,15050,8205,23306,"cluster_2"
"Country: Russian Federation","Year: 2009",8,646245.5,822671.6,77992,8562.809598423979,0.7709999999999999,7149,6057,10553,19047,3702,"cluster_2"
"Country: New Zealand","Year: 2009",8,233222.0,422649.6,40688,28201.2322839936,0.898,4972,3586,2131,1161,2639,"cluster_2"
"Country: Austria","Year: 2009",8,219920.30000000002,266644.3,23222,47963.1794023217,0.8859999999999999,7773,4841,3706,2713,4279,"cluster_2"
"Country: Sweden","Year: 2009",7,300733.50000000006,423616.4,39500,46207.0592032962,0.899,15192,7986,4334,2540,8522,"cluster_2"
"Country: Italy","Year: 2009",6,200688.69999999998,272839.7,21968,36976.8455340664,0.868,37385,22664,14615,10510,19608,"cluster_2"
"Country: Spain","Year: 2009",6,205897.2,310011.6,32992,32334.0054777912,0.858,29994,17226,15016,10496,16496,"cluster_2"
"Country: Switzerland","Year: 2009",5,346885.0,417933.0,52360,69927.4687701171,0.927,17450,7613,5268,3327,10778,"cluster_2"
"Country: Saudi Arabia","Year: 2009",4,310864.9,370283.0,77920,16094.2930975756,0.7959999999999999,1178,1420,1114,733,574,"cluster_2"
"Country: India","Year: 2009",3,199257.1,279701.8,23416,1090.3177645434,0.57,19766,19626,20098,13493,8725,"cluster_2"
"Country: Netherlands","Year: 2009",3,110652.7,155970.2,21336,51900.340094845305,0.9059999999999999,25292,11326,7012,4251,14810,"cluster_2"
"Country: Poland","Year: 2009",3,81391.5,130531.0,13416,11527.5932279825,0.828,8177,7675,9097,7864,3654,"cluster_2"
"Country: Israel","Year: 2009",2,49340.0,148373.6,13272,27709.1175378506,0.882,8663,5131,3109,1481,4942,"cluster_2"
"Country: Norway","Year: 2009",2,72454.0,110984.5,11182,80067.1766382996,0.938,7092,3990,3056,1464,3672,"cluster_2"
"Country: Finland","Year: 2009",2,103047.2,151547.4,14584,47107.155709070496,0.899,7441,4250,2597,1484,4111,"cluster_2"
"Country: South Korea","Year: 2009",2,298170.0,338159.0,27768,18291.9195978633,0.8690000000000001,21531,16196,14241,6237,10557,"cluster_2"
"Country: Australia","Year: 2009",1,21905.7,40960.0,4096,42709.8033034787,0.9209999999999999,29561,17682,10995,6021,15951,"cluster_2"
"Country: Belgium","Year: 2009",1,22731.0,42485.4,3984,44880.57301962269,0.899,12683,6519,4656,2902,7226,"cluster_2"
"Country: Singapore","Year: 2009",1,23482.0,28128.0,2400,38577.5582156126,0.884,6483,3386,2186,1245,3990,"cluster_2"
"Country: Bulgaria","Year: 2009",1,23862.0,27850.0,8192,6969.558556683571,0.774,1033,874,1331,974,459,"cluster_2"
"Country: Hong Kong","Year: 2009",1,32325.0,56672.0,5600,30697.340383517003,0.898,6880,3855,2334,1324,3903,"cluster_2"
"Country: Ireland","Year: 2009",1,25110.0,28672.0,2560,52104.034723116914,0.9059999999999999,4975,2805,1975,1032,2705,"cluster_2"
"Country: South Africa","Year: 2009",1,25440.0,30860.8,2624,5831.1155741887915,0.642,4165,3597,2736,1653,2173,"cluster_2"
"Country: Slovenia","Year: 2009",1,36752.5,49152.0,4096,24633.7978523083,0.878,1678,1365,1317,782,838,"cluster_2"
"Country: Brazil","Year: 2009",1,64630.0,72396.8,6464,8553.381368256949,0.718,13501,14559,15115,8235,6154,"cluster_2"
"Country: Malaysia","Year: 2009",1,20442.4,38223.9,4096,7326.744434864591,0.765,2156,2489,2915,2328,1130,"cluster_2"
