"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2010",274,2.2295273600000024E7,3.148394569999998E7,3537061,48375.4069462972,0.914,277534,150677,97835,61166,162583,"cluster_0"
"Country: China","Year: 2010",41,5688791.999999998,1.160973009999999E7,622428,4560.5125860092885,0.706,77083,75488,95366,72116,38516,"cluster_1"
"Country: Japan","Year: 2010",26,2903675.8,4605248.400000001,416782,44507.6763859172,0.885,44705,35793,29977,23657,23785,"cluster_1"
"Country: France","Year: 2010",26,2874898.9999999995,3639726.1999999997,417264,40638.33400426,0.882,46098,23716,20212,18203,26413,"cluster_1"
"Country: Germany","Year: 2010",26,2721354.4,3504850.2000000007,500416,41785.556912554,0.9209999999999999,63685,32952,29064,23869,36684,"cluster_1"
"Country: United Kingdom","Year: 2010",25,1550664.7999999998,2258562.6000000006,206440,38893.0184937365,0.905,77521,43171,27630,17025,42770,"cluster_1"
"Country: Russian Federation","Year: 2010",11,867729.7,1143792.7,102184,10674.987707365,0.78,6997,5793,11302,19646,3556,"cluster_2"
"Country: Canada","Year: 2010",6,422401.2,629706.9,56836,47447.4760241936,0.902,42502,24590,15630,8582,23707,"cluster_2"
"Country: Italy","Year: 2010",6,254075.8,336456.49999999994,27680,35849.3731979401,0.87,37988,23471,15735,10575,19503,"cluster_2"
"Country: Poland","Year: 2010",6,285440.5,398080.19999999995,39480,12599.5335818707,0.835,8474,7799,9565,8618,3724,"cluster_2"
"Country: Sweden","Year: 2010",6,367030.0,476086.69999999995,50488,52076.2559134864,0.905,15809,8141,4402,2845,8938,"cluster_2"
"Country: Saudi Arabia","Year: 2010",6,437434.9,514297.0,90208,19259.5872568465,0.8079999999999999,1853,1996,1584,1011,893,"cluster_2"
"Country: New Zealand","Year: 2010",5,157639.0,296800.0,29680,33692.0108346543,0.899,5468,3913,2167,1064,2913,"cluster_2"
"Country: India","Year: 2010",4,257243.0,333005.0,25808,1345.77015320926,0.581,20979,21796,24132,17715,9044,"cluster_2"
"Country: Switzerland","Year: 2010",4,317895.0,383373.0,49480,74605.7210207051,0.932,18404,7887,5664,3742,11319,"cluster_2"
"Country: Australia","Year: 2010",4,315738.7,444622.0,30744,51936.888711646105,0.9229999999999999,31162,18916,12119,7205,16818,"cluster_2"
"Country: South Korea","Year: 2010",3,907600.0,1065455.0,116472,22086.952919320098,0.884,23449,17968,15956,6850,11670,"cluster_2"
"Country: Spain","Year: 2010",3,138513.0,211741.4,22496,30736.6278530812,0.865,32194,17946,15305,11162,17825,"cluster_2"
"Country: Norway","Year: 2010",3,107747.5,177366.6,16846,87770.26684434009,0.9420000000000001,7416,4269,2927,1559,3837,"cluster_2"
"Country: Brazil","Year: 2010",2,269730.0,330444.8,37184,11224.1540829355,0.727,14102,15053,16528,9531,6404,"cluster_2"
"Country: Netherlands","Year: 2010",2,83202.7,121563.8,9048,50338.2548273725,0.91,26952,11598,7205,4537,15899,"cluster_2"
"Country: Belgium","Year: 2010",2,83840.0,151471.8,16704,44380.1766327308,0.903,13208,7096,4955,3062,7442,"cluster_2"
"Country: Singapore","Year: 2010",2,64957.4,95330.0,8640,46569.6795060716,0.909,7221,3660,2186,1412,4476,"cluster_2"
"Country: Denmark","Year: 2010",2,82587.0,156139.5,13908,58041.4112245601,0.91,9688,4845,3249,1290,5520,"cluster_2"
"Country: Finland","Year: 2010",1,76510.0,101997.0,10864,46202.4151628454,0.903,7634,4244,2618,1541,4251,"cluster_2"
"Country: Slovenia","Year: 2010",1,36752.5,49152.0,4096,23437.472021138707,0.882,1638,1435,1314,806,866,"cluster_2"
"Country: Ireland","Year: 2010",1,36560.0,40857.6,3840,48671.8882936068,0.909,5360,3120,2233,1240,2961,"cluster_2"
"Country: Austria","Year: 2010",1,35480.0,38836.0,3650,46858.0432733717,0.895,8540,5083,3616,2712,4710,"cluster_2"
"Country: Hong Kong","Year: 2010",1,32325.0,56672.0,5600,32549.998231121,0.9009999999999999,6439,3668,2217,1334,3673,"cluster_2"
