"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 1999",268,30148.45599999993,47508.12999999998,76497,34620.928899082595,0.885,183118,97097,56686,31745,105042,"cluster_0"
"Country: Germany","Year: 1999",69,5571.519999999998,8998.720000000003,11112,26795.9911316814,0.855,38039,23594,17828,11157,19422,"cluster_1"
"Country: Japan","Year: 1999",57,6472.640000000001,7936.900000000001,10222,36026.5560750168,0.85,38672,32254,21796,14283,18581,"cluster_1"
"Country: France","Year: 1999",27,2162.79,3141.4999999999995,3626,24673.1989691744,0.845,27837,16826,11915,6953,14376,"cluster_2"
"Country: United Kingdom","Year: 1999",24,3203.1400000000003,4759.3099999999995,5458,28383.6689052533,0.861,52881,28497,14314,6311,26808,"cluster_2"
"Country: Sweden","Year: 1999",7,422.35999999999996,613.01,860,30577.0817743892,0.893,10216,5651,2767,1607,5211,"cluster_2"
"Country: Netherlands","Year: 1999",7,397.05,635.59,916,27951.734289322998,0.87,13615,6594,3533,1839,7529,"cluster_2"
"Country: Italy","Year: 1999",6,426.90000000000003,687.1,742,21936.8231293509,0.8240000000000001,19581,12243,7271,3443,9499,"cluster_2"
"Country: Switzerland","Year: 1999",5,255.89999999999998,479.53000000000003,696,40581.3070515572,0.8809999999999999,9364,4570,2698,1645,5248,"cluster_2"
"Country: South Korea","Year: 1999",5,354.07,442.96,411,10409.3268882433,0.8079999999999999,6940,4900,4066,2054,3064,"cluster_2"
"Country: Canada","Year: 1999",5,436.18999999999994,529.09,460,22167.225849888197,0.8640000000000001,22009,13142,7362,3385,11647,"cluster_2"
"Country: Australia","Year: 1999",4,198.34,269.97999999999996,316,20521.7775705928,0.895,13964,9161,4658,1973,6781,"cluster_2"
"Country: Luxembourg","Year: 1999",4,142.93,200.73000000000002,280,51654.4027951819,0.8490000000000001,40,25,11,5,20,"cluster_2"
"Country: Finland","Year: 1999",2,185.25,253.8,364,26178.791784550802,0.848,4796,2556,1383,632,2452,"cluster_2"
"Country: Norway","Year: 1999",2,81.35,106.32,222,36371.3957875661,0.9109999999999999,3212,1979,1300,400,1493,"cluster_2"
"Country: Austria","Year: 1999",1,39.43,82.33,124,27174.2971559775,0.8340000000000001,4055,2791,1742,985,2017,"cluster_2"
"Country: Mexico","Year: 1999",1,35.17,46.62,70,5984.34106789082,0.695,2475,1935,1507,1079,1106,"cluster_2"
"Country: China","Year: 1999",1,37.4,48.0,60,873.2870617257901,0.585,10775,11323,13612,8649,4358,"cluster_2"
"Country: New Zealand","Year: 1999",1,109.3,158.4,132,15322.2238340267,0.865,2733,2131,1091,417,1364,"cluster_2"
"Country: Israel","Year: 1999",1,42.4,60.16,94,19133.048197813798,0.85,6041,3786,1970,801,3178,"cluster_2"
"Country: Belgium","Year: 1999",1,43.07,90.3,136,25444.1392583071,0.868,6438,3859,2516,1455,3440,"cluster_2"
"Country: Taiwan","Year: 1999",1,139.0,144.0,15,,,5717,3786,2661,1171,2697,"cluster_2"
"Country: Denmark","Year: 1999",1,33.9,48.0,100,33440.8016200638,0.861,5164,2692,1701,531,2787,"cluster_2"
