"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: China","Year: 2017",202,298876.65908000007,524584.4843200002,22797764,8826.99409574835,0.752,227518,141732,115065,84269,129833,"cluster_0"
"Country: United States","Year: 2017",143,249829.54268999994,391614.1170000002,12078694,59531.661964344006,0.924,343484,186798,102674,54089,203625,"cluster_1"
"Country: Japan","Year: 2017",35,90874.70240000001,136440.16580000002,26331160,38428.0973168279,0.909,49236,39209,26466,19329,26985,"cluster_2"
"Country: Germany","Year: 2017",21,38424.228899999995,51507.985579999986,1656870,44469.909060724414,0.9359999999999999,85006,45469,27477,26258,50003,"cluster_2"
"Country: France","Year: 2017",18,30818.431999999997,42250.453799999996,1370664,38476.6586361575,0.9009999999999999,58428,31052,19430,17403,34655,"cluster_2"
"Country: United Kingdom","Year: 2017",15,32268.887999999995,41186.451,1296368,39720.4434267836,0.922,109445,53701,29596,15632,64334,"cluster_2"
"Country: Italy","Year: 2017",6,16274.622,27832.87389,567608,31952.9759206841,0.88,54442,36211,20969,12962,30031,"cluster_2"
"Country: Netherlands","Year: 2017",6,4592.32,6764.544,180480,48223.1554941825,0.9309999999999999,36349,15943,7912,4144,21827,"cluster_2"
"Country: Sweden","Year: 2017",5,4932.065,6445.717000000001,163792,53442.0082808022,0.9329999999999999,24477,11722,5329,2690,14706,"cluster_2"
"Country: Canada","Year: 2017",5,5088.851000000001,9261.569000000001,238144,45032.1199081697,0.9259999999999999,57597,31055,17392,7269,33217,"cluster_2"
"Country: Poland","Year: 2017",5,5299.955,7075.706,175784,13811.664243680802,0.865,15337,14515,12011,10009,7755,"cluster_2"
"Country: South Korea","Year: 2017",5,7051.981,9317.376,234880,29742.8388613471,0.903,37931,26366,17293,8332,22474,"cluster_2"
"Country: Australia","Year: 2017",4,4103.829,7206.9042,205492,53799.93808995991,0.9390000000000001,55497,29371,15446,5947,32543,"cluster_2"
"Country: Saudi Arabia","Year: 2017",4,9297.5786,12268.082999999999,345568,20760.9060117662,0.853,9094,7034,5028,2152,4950,"cluster_2"
"Country: Ireland","Year: 2017",4,2876.218,4584.3460000000005,119384,69330.6901544912,0.938,7561,4061,2348,1173,4245,"cluster_2"
"Country: India","Year: 2017",4,2794.7529999999997,3759.153,107544,1939.61298448814,0.64,40467,39456,39008,31124,18726,"cluster_2"
"Country: Russian Federation","Year: 2017",3,3662.012,5491.8006,141284,10743.0965915463,0.816,13924,14661,28306,31842,7052,"cluster_2"
"Country: Switzerland","Year: 2017",3,21716.281,27674.706000000002,472224,80189.6968607849,0.9440000000000001,27719,11524,6415,4233,17537,"cluster_2"
"Country: Austria","Year: 2017",2,1168.58,1670.7584,59648,47290.9116498316,0.9079999999999999,13080,6967,4108,2961,7630,"cluster_2"
"Country: Finland","Year: 2017",2,1822.5700000000002,2678.4768,67488,45703.327865074,0.92,11050,5750,2909,1354,6572,"cluster_2"
"Country: Norway","Year: 2017",1,953.571,1081.651,32192,75504.5662551423,0.953,12044,6453,3430,2000,7133,"cluster_2"
"Country: Mexico","Year: 2017",1,550.748,726.835,18928,8902.83082294794,0.774,8643,7383,6236,4466,4419,"cluster_2"
"Country: Spain","Year: 2017",1,6470.8,10296.115,153216,28156.8158362352,0.8909999999999999,45642,26037,18407,13814,26772,"cluster_2"
"Country: Singapore","Year: 2017",1,1010.0,1285.9389999999999,30912,57714.2966313778,0.932,12126,5237,2662,1254,8085,"cluster_2"
"Country: South Africa","Year: 2017",1,1029.32,1366.81,32856,6160.73456881527,0.6990000000000001,9600,7477,5316,2938,4865,"cluster_2"
"Country: Taiwan","Year: 2017",1,1325.15,2088.96,27200,,,18098,10458,5786,3175,10281,"cluster_2"
"Country: Czech Republic","Year: 2017",1,1457.73,2011.641,76896,20368.1385576071,0.888,8336,6855,5818,5295,4570,"cluster_2"
"Country: New Zealand","Year: 2017",1,549.117,864.0,21600,42940.5782879727,0.917,8190,4967,2792,1196,4609,"cluster_2"
