"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2003",246,298168.732,530840.9799999995,172801,39677.1983481058,0.893,213931,110257,67791,41450,124649,"cluster_0"
"Country: Germany","Year: 2003",36,25558.486000000008,41611.66,11904,30359.952152566602,0.889,44983,25842,21216,15436,24051,"cluster_1"
"Country: United Kingdom","Year: 2003",33,29607.731999999993,55720.80000000001,15192,34173.9799764342,0.878,58902,31798,17381,9281,31087,"cluster_1"
"Country: Japan","Year: 2003",32,62672.19999999999,80705.0,15661,34808.3909176613,0.865,45101,35332,25164,16519,22292,"cluster_1"
"Country: Italy","Year: 2003",17,10088.600000000004,16915.84,3944,27387.2263150177,0.847,26096,15961,9708,5852,13034,"cluster_2"
"Country: France","Year: 2003",16,14867.483000000002,26160.8,8304,29568.385949667998,0.857,32533,18673,14114,9845,17397,"cluster_2"
"Country: South Korea","Year: 2003",14,10686.400000000005,19171.0,4304,14209.3885192557,0.8390000000000001,11705,8181,7297,3731,5424,"cluster_2"
"Country: China","Year: 2003",10,10791.321000000002,18481.76,3950,1288.64325183381,0.623,21213,19376,25321,16548,8855,"cluster_2"
"Country: Saudi Arabia","Year: 2003",9,6246.549999999999,14432.639999999998,2866,9567.45828531486,0.7559999999999999,722,956,415,298,297,"cluster_2"
"Country: Canada","Year: 2003",8,8460.034,18549.76,3482,28172.148830908398,0.882,27475,15791,9622,5485,14941,"cluster_2"
"Country: Netherlands","Year: 2003",7,4372.299999999999,6099.0,2272,35245.1640746805,0.883,16936,7858,4639,2701,9584,"cluster_2"
"Country: Australia","Year: 2003",6,4928.719,7695.48,1724,23437.3121454327,0.904,17475,10919,6669,3226,8722,"cluster_2"
"Country: Spain","Year: 2003",6,2988.6769999999997,4416.0,1064,21495.7074076474,0.833,17374,11319,9493,4791,8805,"cluster_2"
"Country: Sweden","Year: 2003",5,2938.161,4861.16,1869,36961.4253671424,0.9079999999999999,11939,6479,3227,2118,6263,"cluster_2"
"Country: Taiwan","Year: 2003",5,3301.1,5347.2,1132,,,8347,5630,3936,1898,4076,"cluster_2"
"Country: New Zealand","Year: 2003",4,4429.2,14022.4,2576,21913.708171996102,0.884,3358,2484,1299,618,1756,"cluster_2"
"Country: Singapore","Year: 2003",4,2378.3329999999996,4038.3999999999996,800,23573.628038850602,0.838,3676,2345,1462,840,1868,"cluster_2"
"Country: Mexico","Year: 2003",4,4406.049999999999,12756.8,2374,6903.94918769848,0.7170000000000001,3497,2669,2343,1643,1602,"cluster_2"
"Country: Norway","Year: 2003",3,1488.0,2048.0,768,50111.654449452195,0.924,4010,2238,1766,675,2031,"cluster_2"
"Country: Brazil","Year: 2003",3,1545.0,2508.8,640,3059.58650690802,0.695,7576,6800,5620,2735,3448,"cluster_2"
"Country: Hong Kong","Year: 2003",3,1497.9,2741.6,872,23977.0194516698,0.851,4954,2924,1912,888,2599,"cluster_2"
"Country: Malaysia","Year: 2003",3,2137.417,5280.0,1100,4463.67589342594,0.731,632,714,651,389,271,"cluster_2"
"Country: Switzerland","Year: 2003",3,2387.7,4448.0,944,48087.5831393144,0.8959999999999999,11493,5402,3353,2341,6636,"cluster_2"
"Country: Finland","Year: 2003",3,1986.4,3597.0,896,32816.160880213996,0.87,5898,3213,1760,1006,3157,"cluster_2"
"Country: India","Year: 2003",2,1700.16,3888.0,854,541.13522787231,0.517,10419,10544,9551,6313,4372,"cluster_2"
"Country: Russian Federation","Year: 2003",2,1173.2,1792.0,1024,2975.1327783492493,0.74,7067,5833,9700,13713,3391,"cluster_2"
"Country: Denmark","Year: 2003",2,903.4,1184.0,256,40458.7706402839,0.894,6305,3143,2076,735,3416,"cluster_2"
"Country: South Africa","Year: 2003",2,871.3,1456.0,416,3678.10281680867,0.615,2348,2324,1593,731,1167,"cluster_2"
"Country: Belgium","Year: 2003",2,853.6,1440.0,448,30743.9025377208,0.882,8469,4545,2961,1963,4525,"cluster_2"
"Country: Oman","Year: 2003",1,822.8530000000001,1843.2,384,9069.810206054659,0.736,138,147,108,61,66,"cluster_2"
"Country: Belarus","Year: 2003",1,423.6,716.8,128,1819.7660592617701,0.705,303,310,385,571,136,"cluster_2"
"Country: Portugal","Year: 2003",1,408.2,672.0,192,15772.7333950542,0.7959999999999999,2868,1942,1524,801,1353,"cluster_2"
"Country: Luxembourg","Year: 2003",1,408.2,672.0,192,65445.88503074071,0.8640000000000001,73,51,30,27,37,"cluster_2"
"Country: Czech Republic","Year: 2003",1,408.2,672.0,192,9773.117502512807,0.8220000000000001,2756,2535,2441,1780,1160,"cluster_2"
"Country: Austria","Year: 2003",1,504.3,971.0,192,32222.897241165498,0.8420000000000001,5588,3498,2333,1506,2866,"cluster_2"
"Country: Israel","Year: 2003",1,1143.46,3360.0,600,18964.223643652098,0.865,7434,4636,2649,1018,4094,"cluster_2"
"Country: Indonesia","Year: 2003",1,638.8,1433.6,256,1064.50944713681,0.624,326,282,169,96,147,"cluster_2"
"Country: Poland","Year: 2003",1,641.6,1331.2,256,5693.377763225971,0.804,5961,5664,6353,3604,2482,"cluster_2"
"Country: Ireland","Year: 2003",1,408.2,672.0,192,41107.0310569661,0.88,2370,1387,995,456,1185,"cluster_2"
