"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2004",266,687132.741,1119879.9200000006,266629,41921.8097617892,0.895,226262,118595,75427,47302,131960,"cluster_0"
"Country: United Kingdom","Year: 2004",42,82928.259,170858.12000000002,32162,39983.9846746653,0.8859999999999999,62126,33077,19316,11035,32790,"cluster_1"
"Country: Germany","Year: 2004",33,48264.86,76454.6,16900,34165.9340305131,0.897,46795,27043,23289,17853,25088,"cluster_1"
"Country: Japan","Year: 2004",30,95004.40000000004,132819.59999999998,21734,37688.7223359406,0.8690000000000001,45470,36003,25362,19038,22968,"cluster_1"
"Country: China","Year: 2004",17,31937.180000000004,54347.04,10644,1508.6680978826596,0.635,27411,28097,39378,26792,11959,"cluster_2"
"Country: Italy","Year: 2004",15,19196.8,34161.12,7972,31174.561087857997,0.852,27733,17239,11120,6539,13981,"cluster_2"
"Country: France","Year: 2004",15,21315.52,35415.0,8632,33741.2651469175,0.86,33824,19473,15290,11772,18356,"cluster_2"
"Country: South Korea","Year: 2004",11,16356.15,27132.8,5636,15907.6658340352,0.847,12928,9452,9578,5523,6156,"cluster_2"
"Country: India","Year: 2004",8,8154.7300000000005,13601.28,2414,621.318376718509,0.526,11734,11488,10211,6823,4904,"cluster_2"
"Country: Canada","Year: 2004",7,15830.0,31189.760000000002,5760,31979.8719510723,0.887,29571,17110,11034,6579,16098,"cluster_2"
"Country: Brazil","Year: 2004",6,14209.195,26734.28,4448,3623.049912092991,0.698,8705,8212,6705,3273,3936,"cluster_2"
"Country: Mexico","Year: 2004",5,8498.0,15508.8,2726,7310.96163086246,0.7240000000000001,3816,2776,2601,1825,1788,"cluster_2"
"Country: Australia","Year: 2004",5,6389.726999999999,9621.12,1520,30401.5547862944,0.907,19292,12467,7262,3814,9872,"cluster_2"
"Country: Netherlands","Year: 2004",5,6368.72,8934.2,1712,39954.6422157907,0.8859999999999999,18046,8154,5041,3371,10473,"cluster_2"
"Country: Sweden","Year: 2004",4,4642.2,6137.6,1232,42442.2204473133,0.8959999999999999,12418,6654,3492,2354,6614,"cluster_2"
"Country: Israel","Year: 2004",3,7250.39,12662.4,2120,19892.059509394097,0.868,7741,4723,2674,1118,4282,"cluster_2"
"Country: Portugal","Year: 2004",3,3240.0,4032.0,672,18045.588099483302,0.797,3327,2055,1850,1020,1717,"cluster_2"
"Country: Switzerland","Year: 2004",3,4076.1,11632.0,2092,53340.147655778,0.9009999999999999,12725,5827,3789,2691,7254,"cluster_2"
"Country: Saudi Arabia","Year: 2004",3,6438.51,15088.0,2498,11138.807464899699,0.765,648,1012,473,331,248,"cluster_2"
"Country: Spain","Year: 2004",3,22691.0,34579.0,4300,24918.645841999398,0.8370000000000001,19104,11910,10725,5597,10064,"cluster_2"
"Country: South Africa","Year: 2004",3,3389.1,5376.0,896,4745.07168450977,0.613,2653,2482,1768,792,1317,"cluster_2"
"Country: New Zealand","Year: 2004",2,4052.0,12633.6,2256,25420.070413486494,0.8859999999999999,3584,2864,1547,727,1820,"cluster_2"
"Country: Russian Federation","Year: 2004",2,2251.6,3568.0,752,4102.3722935487895,0.746,7091,5924,10521,14649,3429,"cluster_2"
"Country: Taiwan","Year: 2004",2,3055.0,4224.0,724,,,9583,6391,4438,2516,4798,"cluster_2"
"Country: Belarus","Year: 2004",1,2032.0,2534.4,576,2378.62328600741,0.715,337,265,415,675,155,"cluster_2"
"Country: Venezuela","Year: 2004",1,1198.1,1536.0,256,4271.3724036473495,0.7,521,480,346,368,269,"cluster_2"
"Country: Finland","Year: 2004",1,1170.0,2253.0,512,37636.1117341753,0.8909999999999999,5993,3410,1910,1133,3128,"cluster_2"
"Country: Malaysia","Year: 2004",1,1119.44,2457.6,512,4955.47774271198,0.7340000000000001,743,833,719,494,335,"cluster_2"
"Country: Singapore","Year: 2004",1,1015.5,1638.4,256,27405.2713554901,0.845,4223,2606,1700,1189,2200,"cluster_2"
"Country: Indonesia","Year: 2004",1,854.7669999999999,1433.6,256,1148.5690961840899,0.629,420,293,164,97,206,"cluster_2"
"Country: Hong Kong","Year: 2004",1,854.7669999999999,1433.6,256,24928.100372255096,0.862,5303,3166,2111,1259,2782,"cluster_2"
