"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 1998",290,17785.590999999993,28604.161999999968,61949,32949.1977640346,0.884,182310,96120,56008,30929,104983,"cluster_0"
"Country: Japan","Year: 1998",69,3699.5949999999993,4676.29,9359,31902.7670955137,0.847,37495,31394,21132,13934,17945,"cluster_1"
"Country: Germany","Year: 1998",49,2956.0249999999996,4263.072,5761,27340.672884888398,0.85,36443,23876,17718,10486,17805,"cluster_1"
"Country: United Kingdom","Year: 1998",28,2253.473,3116.97,4259,28014.894699495297,0.855,51972,28212,13989,6096,25526,"cluster_2"
"Country: France","Year: 1998",14,709.3399999999999,998.3000000000002,1478,24974.272199000497,0.8390000000000001,27069,16754,11483,6432,13803,"cluster_2"
"Country: Canada","Year: 1998",8,449.02,575.1619999999999,608,20887.8394667666,0.861,21471,13621,7521,3385,11323,"cluster_2"
"Country: Switzerland","Year: 1998",6,152.89000000000001,192.31000000000003,484,41497.2026053116,0.873,9043,4414,2645,1446,4998,"cluster_2"
"Country: Sweden","Year: 1998",6,253.79,341.88,614,30143.627458278,0.888,9826,5688,2741,1545,5028,"cluster_2"
"Country: South Korea","Year: 1998",6,212.87,304.4,429,8085.32352838328,0.797,5944,4218,3598,1414,2627,"cluster_2"
"Country: Spain","Year: 1998",5,112.83000000000001,144.04,260,15340.3321141928,0.8140000000000001,12553,8231,6245,2796,6005,"cluster_2"
"Country: Netherlands","Year: 1998",4,140.04999999999998,206.60000000000002,290,27533.6067928156,0.867,13468,7255,3648,1873,7238,"cluster_2"
"Country: Australia","Year: 1998",3,110.15,117.56,109,21318.964169431798,0.892,13422,8901,4786,1817,6488,"cluster_2"
"Country: Norway","Year: 1998",2,81.35,106.32,222,34788.7785642698,0.9059999999999999,3176,2017,1556,420,1453,"cluster_2"
"Country: Denmark","Year: 1998",2,50.56,58.879999999999995,58,33368.1548509045,0.8490000000000001,5038,2776,1874,503,2648,"cluster_2"
"Country: Mexico","Year: 1998",2,46.489999999999995,55.93,84,5327.81190127662,0.69,2348,1753,1206,890,1103,"cluster_2"
"Country: Finland","Year: 1998",1,123.0,177.0,236,25989.407503518,0.84,4607,2560,1300,620,2382,"cluster_2"
"Country: Italy","Year: 1998",1,142.36,206.4,172,22252.358086231,0.8190000000000001,18336,12532,7437,3494,8718,"cluster_2"
"Country: Belgium","Year: 1998",1,25.37,30.63,46,25541.674723365602,0.866,6263,3742,2444,1336,3211,"cluster_2"
"Country: Hong Kong","Year: 1998",1,22.19,30.72,48,25808.970952452997,0.8170000000000001,2791,1897,1169,518,1405,"cluster_2"
"Country: Taiwan","Year: 1998",1,20.37,29.21,110,,,5511,3617,2482,1037,2671,"cluster_2"
"Country: Russian Federation","Year: 1998",1,20.3,24.0,48,1834.8469373328696,0.703,6371,6060,9963,12436,2613,"cluster_2"
