"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 1997",265,8782.127999999995,13183.217999999948,41984,31572.6902298492,0.8809999999999999,183525,98888,53972,29443,106974,"cluster_0"
"Country: Japan","Year: 1997",91,3445.1200000000003,4296.280999999996,9520,35021.719091715895,0.848,36139,30152,20891,14669,17421,"cluster_1"
"Country: Germany","Year: 1997",43,1671.53,2541.672999999999,4197,27045.719127331802,0.8440000000000001,34185,23614,17554,10440,16798,"cluster_2"
"Country: United Kingdom","Year: 1997",24,1137.4859999999999,1691.2760000000003,2720,26621.4800592777,0.8490000000000001,49622,27555,14229,6203,24490,"cluster_2"
"Country: France","Year: 1997",20,553.6270000000002,828.4200000000004,1929,24228.942350896406,0.8340000000000001,25797,16410,11586,6461,13115,"cluster_2"
"Country: South Korea","Year: 1997",9,183.80999999999997,255.078,363,12131.874704259199,0.8,5192,3579,3308,1559,2344,"cluster_2"
"Country: Netherlands","Year: 1997",8,129.98999999999998,166.49099999999999,320,26404.986730145,0.865,13003,6867,3687,1939,6950,"cluster_2"
"Country: Sweden","Year: 1997",7,197.63,278.50600000000003,613,29897.7926311935,0.8740000000000001,9417,5497,2580,1390,4762,"cluster_2"
"Country: Switzerland","Year: 1997",6,113.20000000000002,145.70999999999998,851,40417.9622817609,0.8640000000000001,8319,4324,2652,1565,4638,"cluster_2"
"Country: Spain","Year: 1997",4,65.78,88.32000000000001,196,14696.2161077085,0.81,11731,7905,5834,2508,5728,"cluster_2"
"Country: Italy","Year: 1997",3,75.75999999999999,111.84,184,21779.6243667018,0.8140000000000001,17742,12404,7533,3528,8538,"cluster_2"
"Country: Norway","Year: 1997",3,73.06,102.72,216,36628.5174155741,0.894,2990,1847,1516,438,1437,"cluster_2"
"Country: Canada","Year: 1997",3,164.10999999999999,174.896,136,21770.1340814172,0.862,21799,13815,7511,3467,11517,"cluster_2"
"Country: Australia","Year: 1997",2,39.08,43.96,45,23468.5968306374,0.889,12649,8787,4586,1813,6194,"cluster_2"
"Country: Brazil","Year: 1997",2,27.93,35.2,72,5271.41222246603,0.664,4148,3691,2668,1201,1835,"cluster_2"
"Country: Israel","Year: 1997",2,23.28,29.024,88,19658.1326309076,0.835,5962,3702,2047,827,3176,"cluster_2"
"Country: Mexico","Year: 1997",2,21.619999999999997,25.48,58,5143.961120073879,0.6829999999999999,2228,1565,1118,831,934,"cluster_2"
"Country: Finland","Year: 1997",1,101.0,168.0,224,24676.4970769622,0.8320000000000001,4337,2438,1325,601,2181,"cluster_2"
"Country: Denmark","Year: 1997",1,31.1,32.0,16,32835.9287666102,0.843,4747,2626,1908,516,2478,"cluster_2"
"Country: Russian Federation","Year: 1997",1,20.3,24.0,48,2737.55666234068,0.7040000000000001,6448,5594,9669,12151,2667,"cluster_2"
"Country: Taiwan","Year: 1997",1,15.23,21.28,80,,,5351,3534,2214,1011,2542,"cluster_2"
"Country: Liechtenstein","Year: 1997",1,15.01,23.04,32,72190.7905862245,,17,12,1,2,5,"cluster_2"
"Country: South Africa","Year: 1997",1,10.35,12.0,24,3495.11122228324,0.644,1727,1827,1138,393,772,"cluster_2"
