"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2014",231,1.3669680154999995E8,1.9509499459E8,10049106,54696.726165232685,0.9179999999999999,335190,175607,103310,60084,198611,"cluster_0"
"Country: China","Year: 2014",61,5.210518329999999E7,9.971256199999991E7,5299736,7683.502613091179,0.738,163658,123008,122141,136012,90976,"cluster_1"
"Country: Japan","Year: 2014",32,2.502746014E7,3.2541972169999994E7,1945550,38109.4121125573,0.903,51115,38942,27051,23851,27349,"cluster_2"
"Country: France","Year: 2014",30,1.4120724099999998E7,1.70816882E7,900440,43008.6525700318,0.894,56170,28041,20598,20309,33433,"cluster_2"
"Country: United Kingdom","Year: 2014",30,1.536653316E7,1.9811566860000003E7,986080,46783.4692171284,0.919,98141,48001,30340,19082,57357,"cluster_2"
"Country: Germany","Year: 2014",26,2.0090183E7,2.542088028E7,1304372,48042.5634346518,0.93,80783,40196,29004,25588,47609,"cluster_2"
"Country: India","Year: 2014",9,3137691.8,3912187.16,184124,1576.0040181767301,0.618,35169,34496,36294,29958,17250,"cluster_2"
"Country: South Korea","Year: 2014",9,2527211.7,3673650.2399999998,219012,27811.36638377,0.8959999999999999,34542,25440,20486,9393,19005,"cluster_2"
"Country: Russian Federation","Year: 2014",9,4883085.8,7636769.959999999,251502,14125.9087274272,0.807,10520,8913,17661,22558,5626,"cluster_2"
"Country: Australia","Year: 2014",9,4635447.6,8964921.5,395283,62327.5559390333,0.9329999999999999,48247,26821,13940,7252,27846,"cluster_2"
"Country: Switzerland","Year: 2014",7,8904372.0,1.1105800000000002E7,294128,86605.5633762421,0.9390000000000001,24932,10071,6497,4442,15722,"cluster_2"
"Country: Canada","Year: 2014",6,1903949.7999999998,2354783.84,168992,50633.2088224323,0.9179999999999999,53845,28568,17555,8442,30883,"cluster_2"
"Country: Sweden","Year: 2014",5,2382972.0,3169138.8000000003,136000,59180.1989776727,0.92,22102,10446,4977,3363,13025,"cluster_2"
"Country: Netherlands","Year: 2014",5,1835372.7,2460264.0,88080,52157.4068701887,0.924,34226,14536,7375,5361,20791,"cluster_2"
"Country: Brazil","Year: 2014",4,1031365.0,1594903.6,76080,12026.619390631298,0.752,21838,19452,21398,12808,11035,"cluster_2"
"Country: Saudi Arabia","Year: 2014",4,1981893.6,2744515.4,169232,24575.4030378327,0.852,7110,5792,4518,2290,3903,"cluster_2"
"Country: Finland","Year: 2014",3,1870548.0,2419788.8,62768,49914.618642158886,0.914,10431,5325,3006,1626,6085,"cluster_2"
"Country: Norway","Year: 2014",3,735400.0,873164.4,54400,97199.9190963458,0.946,10454,5473,3366,1818,5968,"cluster_2"
"Country: Italy","Year: 2014",3,5430931.34,7201352.0,259840,35396.6657242265,0.8740000000000001,49972,32299,19741,12583,26982,"cluster_2"
"Country: Spain","Year: 2014",2,1199031.0,1357824.0,65280,29623.1644451343,0.88,43319,23100,17735,13544,25127,"cluster_2"
"Country: Denmark","Year: 2014",2,572878.0,667515.84,30792,62548.9850174371,0.9279999999999999,14989,6635,3174,2158,9047,"cluster_2"
"Country: Poland","Year: 2014",2,455909.0,583604.6,41852,14342.4020166467,0.8420000000000001,13426,12081,13033,8664,6227,"cluster_2"
"Country: Israel","Year: 2014",2,347685.0,860953.6,41392,37539.9518166878,0.899,10822,5850,3340,1601,6254,"cluster_2"
"Country: Austria","Year: 2014",1,596010.0,681574.4,32768,51704.5411875921,0.9009999999999999,11717,6209,3966,3268,6814,"cluster_2"
"Country: Hong Kong","Year: 2014",1,234248.0,476928.0,25920,40315.2855640552,0.9229999999999999,9520,4496,2308,1285,6017,"cluster_2"
"Country: Malaysia","Year: 2014",1,201940.5,401600.0,20080,11183.729432082,0.79,7172,7109,6688,7298,3451,"cluster_2"
"Country: Belgium","Year: 2014",1,201374.0,217537.0,11424,47351.9741788818,0.909,17875,8651,5251,3355,10723,"cluster_2"
"Country: Hungary","Year: 2014",1,197210.0,248203.2,3696,14201.4488320148,0.833,4307,2974,2513,1959,2372,"cluster_2"
"Country: Taiwan","Year: 2014",1,177100.0,231859.0,26244,,,20028,11724,7927,4855,10870,"cluster_2"
