"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2013",264,1.1826159608999994E8,1.6949966111000007E8,9837537,52782.086508871,0.9159999999999999,322545,167048,93031,58016,194048,"cluster_0"
"Country: China","Year: 2013",63,4.854909287000002E7,8.943256120000003E7,4925804,7077.7707653955795,0.7290000000000001,134056,108370,113470,127250,71639,"cluster_1"
"Country: Japan","Year: 2013",28,2.2472218E7,2.8925862009999998E7,1558880,40454.447457890295,0.899,49971,38849,28212,23408,27011,"cluster_2"
"Country: United Kingdom","Year: 2013",23,9058328.5,1.138021522E7,627120,42724.0678844007,0.915,95125,48438,28582,18051,56842,"cluster_2"
"Country: France","Year: 2013",22,9489912.4,1.1228571200000001E7,720416,42592.9515190701,0.889,54149,27889,18957,19161,33039,"cluster_2"
"Country: Germany","Year: 2013",20,1.36968335E7,1.642680708E7,1033252,46530.9114275776,0.9279999999999999,77630,38542,28303,23939,47373,"cluster_2"
"Country: India","Year: 2013",12,3040297.0,3812719.16,188252,1452.1953732317804,0.607,30206,30923,36046,26659,13676,"cluster_2"
"Country: Canada","Year: 2013",10,2077841.4999999998,2627756.04,190752,52418.3150618347,0.9109999999999999,51054,27484,15594,8370,29922,"cluster_2"
"Country: South Korea","Year: 2013",5,1258060.0999999999,1760092.04,154224,25890.0186698906,0.893,31362,24304,19461,8988,16665,"cluster_2"
"Country: Switzerland","Year: 2013",5,7765418.0,9632161.600000001,253904,85112.4643984141,0.938,23433,9678,5807,3932,15083,"cluster_2"
"Country: Italy","Year: 2013",5,2665609.34,3212697.4,221120,35370.2752583755,0.8759999999999999,47628,29734,17496,11911,25955,"cluster_2"
"Country: Australia","Year: 2013",5,2180150.82,2635545.92,145036,67990.29003047981,0.9309999999999999,44443,25106,12965,7059,26083,"cluster_2"
"Country: Russian Federation","Year: 2013",5,1846612.8,3242735.56,166432,16007.089993444399,0.804,9218,7682,13744,19342,4957,"cluster_2"
"Country: Sweden","Year: 2013",5,1067766.7,1297036.2,95680,60283.24522267,0.912,20356,9776,4808,3027,12138,"cluster_2"
"Country: Netherlands","Year: 2013",3,511071.0,671160.0,47544,51574.489418462,0.9229999999999999,32983,14108,6777,5077,20788,"cluster_2"
"Country: Brazil","Year: 2013",3,626000.0,1182103.6,58880,12216.9044643396,0.748,20056,18564,19046,12208,10017,"cluster_2"
"Country: Norway","Year: 2013",3,735400.0,873164.4,54400,103059.24822759,0.946,9603,5117,2561,2254,5526,"cluster_2"
"Country: Saudi Arabia","Year: 2013",3,1165315.0,1827011.4,128272,24934.3861423166,0.8440000000000001,5225,5026,3604,1929,2700,"cluster_2"
"Country: Poland","Year: 2013",2,455909.0,583604.6,41852,13781.0626053813,0.85,11612,10761,12553,8891,5448,"cluster_2"
"Country: Hong Kong","Year: 2013",2,352937.0,658368.0,47520,38403.7777145477,0.915,8862,4176,2179,1366,5333,"cluster_2"
"Country: Spain","Year: 2013",2,1199031.0,1357824.0,65280,29211.773745593506,0.875,41366,22308,16826,12805,24315,"cluster_2"
"Country: Finland","Year: 2013",2,378000.0,436301.0,20976,49638.077129813886,0.912,9451,4978,2766,1897,5628,"cluster_2"
"Country: Israel","Year: 2013",2,314055.65,736819.0,35424,36291.2321104804,0.895,10200,5400,3009,1518,6212,"cluster_2"
"Country: Ireland","Year: 2013",2,268565.0,343310.0,30996,51773.1113695891,0.9109999999999999,6321,3331,2030,1209,3667,"cluster_2"
"Country: Taiwan","Year: 2013",1,177100.0,231859.0,26244,,,20069,12257,7538,5749,10900,"cluster_2"
"Country: Denmark","Year: 2013",1,162098.0,183675.84,15672,61191.1926260428,0.9309999999999999,13149,6109,2827,2438,8194,"cluster_2"
"Country: Austria","Year: 2013",1,152900.0,182829.0,20776,50716.708706286394,0.897,10812,5712,3981,3292,6428,"cluster_2"
"Country: Belgium","Year: 2013",1,152347.9,175718.0,8448,46582.66955034121,0.9079999999999999,16700,8391,4963,3058,10090,"cluster_2"
