"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 2008",290,1.118116450000001E7,1.6846821999999978E7,2069517,48401.4273403899,0.91,259505,136209,85071,49483,151414,"cluster_0"
"Country: United Kingdom","Year: 2008",46,921810.0999999999,1525340.5000000002,152084,46767.592215659286,0.8959999999999999,72849,39377,24181,13834,40045,"cluster_1"
"Country: France","Year: 2008",26,886782.0999999997,1298890.4,184276,45334.110914727695,0.878,42366,22579,18924,15059,23726,"cluster_1"
"Country: Germany","Year: 2008",25,803761.0000000001,1087556.7000000002,169844,45699.1983232962,0.917,57455,31133,26788,20789,32049,"cluster_1"
"Country: Japan","Year: 2008",17,522980.8,734926.3999999999,106984,39339.2975731826,0.8809999999999999,46154,36590,27913,19199,23694,"cluster_2"
"Country: China","Year: 2008",15,520961.5999999999,844191.8,90400,3471.2480543115003,0.685,58156,56001,79292,67381,28848,"cluster_2"
"Country: Italy","Year: 2008",11,182434.19999999998,307439.89999999997,35248,40640.183858169104,0.868,35413,21881,14092,8932,18236,"cluster_2"
"Country: India","Year: 2008",8,259394.2,368501.2,37488,991.484630405176,0.564,18387,18042,16874,11702,8122,"cluster_2"
"Country: Sweden","Year: 2008",8,274790.9,405047.39999999997,39084,55746.8423811175,0.9009999999999999,14443,7483,3874,2239,7988,"cluster_2"
"Country: Russian Federation","Year: 2008",8,222968.1,285754.1,31840,11635.26037297,0.774,7274,5748,10633,17637,3609,"cluster_2"
"Country: Poland","Year: 2008",6,116998.69999999998,172675.0,16600,14001.4468819804,0.8240000000000001,7729,7487,9128,7255,3369,"cluster_2"
"Country: Spain","Year: 2008",6,153201.3,231953.2,26616,35579.3099338804,0.856,27711,16229,13845,8685,15072,"cluster_2"
"Country: New Zealand","Year: 2008",4,109109.2,204800.0,20480,31287.7786475125,0.894,4790,3477,1923,915,2493,"cluster_2"
"Country: Switzerland","Year: 2008",4,81565.0,109846.20000000001,18160,72487.8459296849,0.917,16251,7306,5148,3110,9861,"cluster_2"
"Country: Denmark","Year: 2008",3,46472.2,55585.2,5440,64322.0666441526,0.909,8371,4210,2805,1006,4683,"cluster_2"
"Country: Netherlands","Year: 2008",3,111505.7,138752.0,27904,56928.820475680586,0.9059999999999999,22924,10580,6473,3752,13297,"cluster_2"
"Country: Norway","Year: 2008",2,72454.0,110984.5,11182,97007.9418918692,0.938,6538,3609,2246,1163,3323,"cluster_2"
"Country: Canada","Year: 2008",2,70479.1,88953.6,6800,46596.3359912609,0.899,39359,22605,13924,7396,21621,"cluster_2"
"Country: Belgium","Year: 2008",2,35432.0,58165.4,5552,48424.575596314695,0.899,11736,6418,4414,2701,6408,"cluster_2"
"Country: Taiwan","Year: 2008",2,33592.0,48960.0,4080,,,15327,9384,6609,3575,8393,"cluster_2"
"Country: Brazil","Year: 2008",2,31778.5,53355.4,5008,8787.61065756604,0.716,12581,13791,13694,6915,5583,"cluster_2"
"Country: Ireland","Year: 2008",1,25110.0,28672.0,2560,61257.896890275595,0.9079999999999999,4382,2567,1736,900,2341,"cluster_2"
"Country: Israel","Year: 2008",1,24670.0,61152.0,5096,29531.5721632187,0.88,8780,5043,3066,1471,5011,"cluster_2"
"Country: Bulgaria","Year: 2008",1,23415.0,27850.0,8192,7261.7544920027685,0.7709999999999999,1011,917,1126,749,433,"cluster_2"
"Country: South Africa","Year: 2008",1,23415.0,27850.0,8192,5695.05786031968,0.633,3913,3317,2394,1292,1974,"cluster_2"
"Country: Australia","Year: 2008",1,21905.7,40960.0,4096,49535.257873776914,0.92,26946,16280,9998,5152,14497,"cluster_2"
"Country: Malaysia","Year: 2008",1,20442.4,38223.9,4096,8513.6295414071,0.7609999999999999,1408,1848,1852,1461,723,"cluster_2"
"Country: Finland","Year: 2008",1,76510.0,99507.0,10816,53401.314872519804,0.904,7223,3945,2345,1283,3892,"cluster_2"
"Country: Mexico","Year: 2008",1,18480.0,25440.0,2120,9765.71680588736,0.742,4798,3789,3722,2893,2284,"cluster_2"
"Country: South Korea","Year: 2008",1,16990.0,24576.0,3072,20430.6394600807,0.8740000000000001,19362,14756,13314,5891,9632,"cluster_2"
"Country: Slovenia","Year: 2008",1,36752.5,49152.0,4096,27501.8102703687,0.878,1567,1368,1177,751,767,"cluster_2"
