"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: China","Year: 2016",171,2.2357113567999998E8,3.9401339172E8,21546512,8117.267465431791,0.748,204437,137636,118002,81038,113802,"cluster_0"
"Country: United States","Year: 2016",171,2.2803280947E8,3.2730395490999985E8,11660816,57588.538070582996,0.922,335217,179570,103375,59088,201603,"cluster_0"
"Country: Germany","Year: 2016",31,3.6501434800000004E7,4.5628388E7,1600240,42232.5742082948,0.934,83620,41573,30939,26894,50782,"cluster_2"
"Country: Japan","Year: 2016",27,5.448682E7,7.737157713000001E7,3946560,38972.3406391468,0.907,50468,38842,27596,20612,27360,"cluster_2"
"Country: France","Year: 2016",20,2.5398803E7,3.17277652E7,1158428,36870.219134456296,0.899,57304,28603,20605,19454,35095,"cluster_2"
"Country: United Kingdom","Year: 2016",13,2.7602596E7,3.1682369E7,1148968,40412.0336199885,0.92,104235,51414,30175,18755,62415,"cluster_2"
"Country: Poland","Year: 2016",7,6162214.0,8157370.0,208284,12415.0432922899,0.86,15176,13730,13139,9405,7669,"cluster_2"
"Country: Italy","Year: 2016",6,1.406211334E7,2.1140514E7,606312,30668.9814289997,0.878,53367,32955,21342,13451,29973,"cluster_2"
"Country: Russian Federation","Year: 2016",5,4411812.0,6515928.199999999,181070,8748.36885284202,0.815,12084,13185,25280,27046,6278,"cluster_2"
"Country: Saudi Arabia","Year: 2016",5,9577663.6,1.2798147E7,376336,19982.085631405902,0.8540000000000001,8830,6491,5429,2382,5095,"cluster_2"
"Country: India","Year: 2016",5,3092368.0,4456050.76,133172,1717.47387802956,0.636,37438,34817,36970,28915,19090,"cluster_2"
"Country: South Korea","Year: 2016",4,5679724.6,7597851.0,169696,27608.247428711602,0.9,36469,28429,18267,8078,20879,"cluster_2"
"Country: Sweden","Year: 2016",4,3378143.0,4291609.2,123992,51844.761261862695,0.932,23534,11153,5252,3122,14198,"cluster_2"
"Country: Switzerland","Year: 2016",4,1.2273082E7,1.8811648E7,328608,79866.0318745681,0.943,26057,10801,6072,4700,16594,"cluster_2"
"Country: Austria","Year: 2016",3,1537298.0,2096230.4,69608,44731.010855336106,0.9059999999999999,12440,6311,4499,3354,7515,"cluster_2"
"Country: Brazil","Year: 2016",3,1225390.0,1549147.0,52624,8639.36574344537,0.758,25630,22081,21228,13661,13301,"cluster_2"
"Country: Australia","Year: 2016",3,2791709.0,3437363.2,154752,49896.6811009246,0.938,52442,28265,14730,7097,30797,"cluster_2"
"Country: Netherlands","Year: 2016",3,2117521.0,2900275.0,79848,45637.8867460287,0.9279999999999999,35635,14992,7445,5226,21757,"cluster_2"
"Country: New Zealand","Year: 2016",3,1372751.0,2208000.0,55200,40331.9591048227,0.915,7850,4702,2740,1243,4413,"cluster_2"
"Country: Denmark","Year: 2016",2,873135.0,1320480.0,33048,53578.7565680928,0.9279999999999999,16238,7372,3553,2110,9833,"cluster_2"
"Country: Finland","Year: 2016",2,1762018.0,2437631.8,60096,43433.032224358,0.9179999999999999,10798,5455,3026,1584,6395,"cluster_2"
"Country: Canada","Year: 2016",1,715551.0,838861.0,65536,42348.9454605979,0.922,55053,29650,17257,8440,32191,"cluster_2"
"Country: South Africa","Year: 2016",1,782886.0,1006387.0,24192,5280.017632764911,0.696,9344,6517,4916,2624,4654,"cluster_2"
"Country: Spain","Year: 2016",1,925058.0,1017036.8,48896,26616.757796551006,0.889,44466,22539,18937,13254,26907,"cluster_2"
"Country: Belgium","Year: 2016",1,548000.0,619315.0,16128,41260.9775511468,0.915,18444,8672,5175,3460,11199,"cluster_2"
"Country: Singapore","Year: 2016",1,1010000.0,1285939.0,30912,55243.132875717696,0.93,11346,4744,2881,1477,7673,"cluster_2"
"Country: Czech Republic","Year: 2016",1,1457730.0,2011641.0,76896,18483.7164797716,0.885,8158,6329,5649,5355,4510,"cluster_2"
"Country: Norway","Year: 2016",1,396700.0,458598.0,22048,70890.0355687386,0.951,11383,5756,3179,2341,6438,"cluster_2"
"Country: Ireland","Year: 2016",1,365911.0,559411.0,14568,64100.4299522762,0.934,7184,3653,2330,1486,4216,"cluster_2"
