"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 1995",261,2581.512999999992,3960.1199999999976,39590,28782.175020091803,0.877,160951,87957,47803,22577,91783,"cluster_0"
"Country: Japan","Year: 1995",73,1232.748,1560.5400000000009,2671,43440.3678678967,0.84,29288,25963,18066,13199,13283,"cluster_1"
"Country: Germany","Year: 1995",48,267.05,400.98300000000023,2164,31729.6997633451,0.8340000000000001,24501,18505,13315,6215,11955,"cluster_1"
"Country: France","Year: 1995",25,126.35499999999999,173.77299999999994,1050,26890.2198804535,0.825,19389,13486,8606,3916,9780,"cluster_2"
"Country: United Kingdom","Year: 1995",17,144.297,197.44199999999995,1022,23013.458819927404,0.8390000000000001,44183,24773,12039,4187,20526,"cluster_2"
"Country: Switzerland","Year: 1995",9,95.828,134.42,924,48662.4397737883,0.848,6082,3398,1949,926,3327,"cluster_2"
"Country: Netherlands","Year: 1995",9,47.304,65.161,206,28884.713522243397,0.861,10840,6214,3082,1221,5789,"cluster_2"
"Country: Canada","Year: 1995",8,78.297,90.564,112,20577.4893858895,0.861,18304,11874,6202,2691,9464,"cluster_2"
"Country: South Korea","Year: 1995",6,35.382999999999996,46.267999999999994,127,12332.9793517745,0.778,2690,1978,1250,685,1191,"cluster_2"
"Country: Italy","Year: 1995",6,27.198999999999998,43.148,238,20596.3885757596,0.8,13662,9811,5837,2293,6572,"cluster_2"
"Country: Sweden","Year: 1995",4,21.645,33.27,211,29914.331746409,0.856,7877,4956,2194,651,3760,"cluster_2"
"Country: Denmark","Year: 1995",4,17.128,23.360000000000003,78,35351.3807065346,0.831,3682,2272,1134,320,1905,"cluster_2"
"Country: Finland","Year: 1995",3,11.375000000000002,14.992999999999999,44,26273.4659031066,0.816,3467,2004,984,272,1750,"cluster_2"
"Country: Norway","Year: 1995",3,9.036999999999999,14.526,183,34875.1973878148,0.883,2413,1638,868,260,1080,"cluster_2"
"Country: Australia","Year: 1995",3,11.693000000000001,16.4,56,20319.6306283956,0.883,10616,7373,3640,1022,5013,"cluster_2"
"Country: Poland","Year: 1995",3,8.43,11.97,45,3682.79121526652,0.74,2712,2761,1790,807,1144,"cluster_2"
"Country: Austria","Year: 1995",3,10.361,32.523999999999994,166,30325.8495818396,0.8170000000000001,2462,2015,1094,463,1235,"cluster_2"
"Country: Hong Kong","Year: 1995",3,14.453,21.272,188,23497.4923138193,0.8079999999999999,1318,1002,583,260,602,"cluster_2"
"Country: Singapore","Year: 1995",2,6.7,9.056000000000001,32,24936.8308288424,0.773,1089,852,434,212,505,"cluster_2"
"Country: Belgium","Year: 1995",2,5.625,7.98,30,28565.919151606602,0.852,4486,2818,1635,692,2309,"cluster_2"
"Country: Taiwan","Year: 1995",2,9.5,13.832,52,,,3633,2497,1502,535,1610,"cluster_2"
"Country: Mexico","Year: 1995",1,4.1419999999999995,5.4,18,3828.7170228794494,0.669,1363,1057,619,303,558,"cluster_2"
"Country: Slovenia","Year: 1995",1,3.306,12.8,64,10690.6652278647,0.782,342,324,194,121,136,"cluster_2"
"Country: Spain","Year: 1995",1,3.275,3.8089999999999997,4,15429.9394216199,0.8,8255,5955,3640,1334,3880,"cluster_2"
"Country: China","Year: 1995",1,5.8,8.512,32,609.6566792024839,0.55,5389,5340,5786,3247,2116,"cluster_2"
"Country: Greece","Year: 1995",1,3.2030000000000003,4.2,14,12959.3243186619,0.768,1818,1360,756,270,869,"cluster_2"
"Country: Brazil","Year: 1995",1,2.9,3.2,1,4740.11981336276,0.648,2342,1913,1310,653,1063,"cluster_2"
