,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10,Cluster
0,Country: France,Year: 1993,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 5,HDI: 6,Q1: 2,Q2: 1,Q3: 1,Q4: 1,Top10: 2,cluster_2
1,Country: United Kingdom,Year: 1993,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 2,GDPpC: 6,HDI: 5,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1,cluster_2
2,Country: Australia,Year: 1993,Num of Systems: 2,RMax: 3,RPeak: 2,Total Cores: 2,GDPpC: 7,HDI: 1,Q1: 3,Q2: 3,Q3: 3,Q4: 4,Top10: 3,cluster_2
3,Country: Italy,Year: 1993,Num of Systems: 3,RMax: 5,RPeak: 4,Total Cores: 4,GDPpC: 6,HDI: 7,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2,cluster_2
4,Country: Netherlands,Year: 1993,Num of Systems: 2,RMax: 4,RPeak: 4,Total Cores: 3,GDPpC: 3,HDI: 4,Q1: 3,Q2: 3,Q3: 4,Q4: 3,Top10: 3,cluster_2
5,Country: Switzerland,Year: 1993,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 7,GDPpC: 1,HDI: 2,Q1: 5,Q2: 5,Q3: 5,Q4: 4,Top10: 5,cluster_2
6,Country: South Korea,Year: 1993,Num of Systems: 4,RMax: 2,RPeak: 3,Total Cores: 6,GDPpC: 9,HDI: 9,Q1: 9,Q2: 9,Q3: 9,Q4: 6,Top10: 9,cluster_2
7,Country: Spain,Year: 1993,Num of Systems: 4,RMax: 4,RPeak: 5,Total Cores: 8,GDPpC: 8,HDI: 8,Q1: 4,Q2: 4,Q3: 3,Q4: 3,Top10: 4,cluster_2
8,Country: Canada,Year: 1993,Num of Systems: 5,RMax: 2,RPeak: 2,Total Cores: 5,GDPpC: 5,HDI: 2,Q1: 1,Q2: 2,Q3: 2,Q4: 2,Top10: 1,cluster_2
9,Country: Norway,Year: 1993,Num of Systems: 5,RMax: 5,RPeak: 5,Total Cores: 1,GDPpC: 1,HDI: 1,Q1: 8,Q2: 8,Q3: 8,Q4: 10,Top10: 8,cluster_2
10,Country: Denmark,Year: 1993,Num of Systems: 8,RMax: 7,RPeak: 7,Total Cores: 4,GDPpC: 2,HDI: 4,Q1: 6,Q2: 6,Q3: 7,Q4: 8,Top10: 6,cluster_2
11,Country: Mexico,Year: 1993,Num of Systems: 7,RMax: 8,RPeak: 8,Total Cores: 7,GDPpC: 10,HDI: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 8,Top10: 10,cluster_2
12,Country: Austria,Year: 1993,Num of Systems: 7,RMax: 7,RPeak: 7,Total Cores: 5,GDPpC: 2,HDI: 6,Q1: 7,Q2: 7,Q3: 6,Q4: 7,Top10: 7,cluster_2
13,Country: Taiwan,Year: 1993,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 6,,,Q1: 7,Q2: 7,Q3: 6,Q4: 7,Top10: 7,cluster_2
14,Country: Brazil,Year: 1993,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 8,Q2: 8,Q3: 7,Q4: 6,Top10: 8,cluster_2
15,Country: Finland,Year: 1993,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 10,GDPpC: 8,HDI: 7,Q1: 6,Q2: 6,Q3: 8,Q4: 9,Top10: 6,cluster_2
16,Country: Sweden,Year: 1993,Num of Systems: 10,RMax: 8,RPeak: 8,Total Cores: 9,GDPpC: 3,HDI: 3,Q1: 4,Q2: 4,Q3: 4,Q4: 5,Top10: 4,cluster_2
17,Country: Slovenia,Year: 1993,Num of Systems: 9,RMax: 9,RPeak: 10,Total Cores: 9,,HDI: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10,cluster_2
18,Country: Belgium,Year: 1993,Num of Systems: 9,RMax: 10,RPeak: 9,Total Cores: 8,GDPpC: 4,HDI: 3,Q1: 5,Q2: 5,Q3: 5,Q4: 5,Top10: 5,cluster_2
19,Country: Greece,Year: 1993,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 3,GDPpC: 9,HDI: 9,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9,cluster_2
20,Country: United Kingdom,Year: 1994,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 2,GDPpC: 6,HDI: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1,cluster_2
21,Country: France,Year: 1994,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 2,GDPpC: 4,HDI: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1,cluster_2
22,Country: Switzerland,Year: 1994,Num of Systems: 1,RMax: 2,RPeak: 1,Total Cores: 3,GDPpC: 1,HDI: 3,Q1: 4,Q2: 4,Q3: 4,Q4: 3,Top10: 4,cluster_2
23,Country: Australia,Year: 1994,Num of Systems: 2,RMax: 3,RPeak: 2,Total Cores: 1,GDPpC: 7,HDI: 1,Q1: 3,Q2: 2,Q3: 3,Q4: 3,Top10: 3,cluster_2
24,Country: Netherlands,Year: 1994,Num of Systems: 2,RMax: 2,RPeak: 3,Total Cores: 4,GDPpC: 3,HDI: 1,Q1: 2,Q2: 3,Q3: 3,Q4: 2,Top10: 2,cluster_2
25,Country: Sweden,Year: 1994,Num of Systems: 3,RMax: 4,RPeak: 3,Total Cores: 3,GDPpC: 2,HDI: 2,Q1: 3,Q2: 3,Q3: 3,Q4: 4,Top10: 3,cluster_2
26,Country: Norway,Year: 1994,Num of Systems: 3,RMax: 3,RPeak: 4,Total Cores: 1,GDPpC: 1,HDI: 1,Q1: 6,Q2: 7,Q3: 7,Q4: 7,Top10: 6,cluster_2
27,Country: Canada,Year: 1994,Num of Systems: 3,RMax: 1,RPeak: 2,Total Cores: 7,GDPpC: 6,HDI: 2,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1,cluster_2
28,Country: Taiwan,Year: 1994,Num of Systems: 4,RMax: 6,RPeak: 6,Total Cores: 7,,,Q1: 5,Q2: 5,Q3: 5,Q4: 6,Top10: 6,cluster_2
29,Country: Saudi Arabia,Year: 1994,Num of Systems: 7,RMax: 6,RPeak: 7,Total Cores: 8,GDPpC: 9,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10,cluster_2
30,Country: Denmark,Year: 1994,Num of Systems: 6,RMax: 7,RPeak: 8,Total Cores: 3,GDPpC: 1,HDI: 4,Q1: 5,Q2: 5,Q3: 6,Q4: 6,Top10: 5,cluster_2
31,Country: Italy,Year: 1994,Num of Systems: 6,RMax: 8,RPeak: 6,Total Cores: 5,GDPpC: 6,HDI: 6,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2,cluster_2
32,Country: Mexico,Year: 1994,Num of Systems: 6,RMax: 5,RPeak: 5,Total Cores: 6,GDPpC: 10,HDI: 10,Q1: 8,Q2: 9,Q3: 8,Q4: 8,Top10: 8,cluster_2
33,Country: Hong Kong,Year: 1994,Num of Systems: 5,RMax: 4,RPeak: 5,Total Cores: 4,GDPpC: 4,HDI: 6,Q1: 9,Q2: 8,Q3: 9,Q4: 9,Top10: 9,cluster_2
34,Country: South Korea,Year: 1994,Num of Systems: 5,RMax: 3,RPeak: 3,Total Cores: 8,GDPpC: 9,HDI: 8,Q1: 7,Q2: 7,Q3: 6,Q4: 5,Top10: 7,cluster_2
35,Country: Spain,Year: 1994,Num of Systems: 4,RMax: 5,RPeak: 6,Total Cores: 10,GDPpC: 8,HDI: 7,Q1: 3,Q2: 3,Q3: 2,Q4: 3,Top10: 3,cluster_2
36,Country: Brazil,Year: 1994,Num of Systems: 8,RMax: 7,RPeak: 8,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 7,Q2: 6,Q3: 5,Q4: 5,Top10: 7,cluster_2
37,Country: Greece,Year: 1994,Num of Systems: 7,RMax: 6,RPeak: 7,Total Cores: 5,GDPpC: 8,HDI: 8,Q1: 8,Q2: 8,Q3: 8,Q4: 8,Top10: 8,cluster_2
38,Country: Finland,Year: 1994,Num of Systems: 10,RMax: 8,RPeak: 10,Total Cores: 9,GDPpC: 5,HDI: 5,Q1: 6,Q2: 6,Q3: 7,Q4: 8,Top10: 5,cluster_2
39,Country: Belgium,Year: 1994,Num of Systems: 10,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 3,HDI: 3,Q1: 4,Q2: 4,Q3: 4,Q4: 4,Top10: 4,cluster_2
40,Country: Austria,Year: 1994,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 6,GDPpC: 2,HDI: 5,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 6,cluster_2
41,Country: Slovenia,Year: 1994,Num of Systems: 9,RMax: 9,RPeak: 4,Total Cores: 6,,HDI: 7,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10,cluster_2
42,Country: Ireland,Year: 1994,Num of Systems: 9,RMax: 10,RPeak: 9,Total Cores: 1,GDPpC: 7,HDI: 7,Q1: 8,Q2: 10,Q3: 10,Q4: 10,Top10: 8,cluster_2
43,Country: Turkey,Year: 1994,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 10,Q2: 8,Q3: 8,Q4: 7,Top10: 10,cluster_2
44,Country: Singapore,Year: 1994,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 5,HDI: 9,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9,cluster_2
45,Country: France,Year: 1995,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 4,HDI: 5,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1,cluster_2
46,Country: United Kingdom,Year: 1995,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 6,HDI: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1,cluster_2
47,Country: Switzerland,Year: 1995,Num of Systems: 2,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 1,HDI: 3,Q1: 4,Q2: 4,Q3: 4,Q4: 4,Top10: 4,cluster_2
48,Country: Netherlands,Year: 1995,Num of Systems: 1,RMax: 2,RPeak: 2,Total Cores: 3,GDPpC: 3,HDI: 2,Q1: 2,Q2: 3,Q3: 4,Q4: 3,Top10: 2,cluster_2
49,Country: Canada,Year: 1995,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 5,GDPpC: 6,HDI: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 2,Top10: 1,cluster_2
50,Country: South Korea,Year: 1995,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 4,GDPpC: 8,HDI: 8,Q1: 7,Q2: 7,Q3: 7,Q4: 5,Top10: 7,cluster_2
51,Country: Italy,Year: 1995,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 2,GDPpC: 6,HDI: 7,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2,cluster_2
52,Country: Sweden,Year: 1995,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 2,GDPpC: 2,HDI: 2,Q1: 4,Q2: 4,Q3: 4,Q4: 6,Top10: 4,cluster_2
53,Country: Denmark,Year: 1995,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 5,GDPpC: 1,HDI: 4,Q1: 5,Q2: 6,Q3: 7,Q4: 7,Top10: 5,cluster_2
