,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10
722,Country: Italy,Year: 2018,Num of Systems: 4,RMax: 3,RPeak: 3,Total Cores: 3,GDPpC: 7,HDI: 8,Q1: 3,Q2: 3,Q3: 3,Q4: 4,Top10: 3
723,Country: France,Year: 2018,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 6,HDI: 7,Q1: 3,Q2: 4,Q3: 4,Q4: 3,Top10: 2
724,Country: Taiwan,Year: 2018,Num of Systems: 8,RMax: 5,RPeak: 5,Total Cores: 6,,,Q1: 7,Q2: 7,Q3: 7,Q4: 7,Top10: 7
725,Country: United Kingdom,Year: 2018,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 5,HDI: 5,Q1: 1,Q2: 1,Q3: 2,Q4: 3,Top10: 1
726,Country: Spain,Year: 2018,Num of Systems: 8,RMax: 6,RPeak: 6,Total Cores: 7,GDPpC: 7,HDI: 7,Q1: 4,Q2: 5,Q3: 4,Q4: 4,Top10: 4
727,Country: Saudi Arabia,Year: 2018,Num of Systems: 7,RMax: 5,RPeak: 5,Total Cores: 5,GDPpC: 8,HDI: 9,Q1: 9,Q2: 8,Q3: 8,Q4: 9,Top10: 9
728,Country: India,Year: 2018,Num of Systems: 6,RMax: 6,RPeak: 7,Total Cores: 6,GDPpC: 10,HDI: 10,Q1: 4,Q2: 2,Q3: 1,Q4: 1,Top10: 5
729,Country: Canada,Year: 2018,Num of Systems: 3,RMax: 4,RPeak: 4,Total Cores: 4,GDPpC: 4,HDI: 4,Q1: 2,Q2: 3,Q3: 5,Q4: 6,Top10: 3
730,Country: Russian Federation,Year: 2018,Num of Systems: 7,RMax: 8,RPeak: 7,Total Cores: 7,GDPpC: 9,HDI: 9,Q1: 7,Q2: 6,Q3: 3,Q4: 2,Top10: 8
731,Country: Sweden,Year: 2018,Num of Systems: 6,RMax: 7,RPeak: 7,Total Cores: 8,GDPpC: 3,HDI: 3,Q1: 6,Q2: 7,Q3: 8,Q4: 8,Top10: 6
732,Country: Australia,Year: 2018,Num of Systems: 5,RMax: 7,RPeak: 6,Total Cores: 6,GDPpC: 3,HDI: 1,Q1: 2,Q2: 4,Q3: 6,Q4: 6,Top10: 2
733,Country: Poland,Year: 2018,Num of Systems: 5,RMax: 7,RPeak: 8,Total Cores: 7,GDPpC: 9,HDI: 8,Q1: 7,Q2: 6,Q3: 6,Q4: 5,Top10: 7
734,Country: Netherlands,Year: 2018,Num of Systems: 4,RMax: 6,RPeak: 6,Total Cores: 5,GDPpC: 3,HDI: 3,Q1: 5,Q2: 6,Q3: 6,Q4: 7,Top10: 5
735,Country: Ireland,Year: 2018,Num of Systems: 3,RMax: 4,RPeak: 4,Total Cores: 4,GDPpC: 1,HDI: 2,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
736,Country: Singapore,Year: 2018,Num of Systems: 6,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 2,HDI: 3,Q1: 8,Q2: 10,Q3: 10,Q4: 10,Top10: 7
737,Country: Czech Republic,Year: 2018,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 8,HDI: 7,Q1: 10,Q2: 9,Q3: 9,Q4: 6,Top10: 10
738,Country: Finland,Year: 2018,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 4,HDI: 5,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9
739,Country: Brazil,Year: 2018,Num of Systems: 10,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 9,HDI: 9,Q1: 6,Q2: 5,Q3: 4,Q4: 4,Top10: 6
740,Country: South Africa,Year: 2018,Num of Systems: 7,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 9,Q2: 8,Q3: 7,Q4: 8,Top10: 9
741,Country: Norway,Year: 2018,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 1,HDI: 1,Q1: 8,Q2: 9,Q3: 9,Q4: 9,Top10: 8
742,Country: New Zealand,Year: 2018,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 5,HDI: 5,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
