,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10,Cluster
0,Country: France,Year: 1993,22,36.536,59.74199999999998,3014,22380.1039619355,0.804,16659,11104,8026,3005,8313,cluster_2
1,Country: United Kingdom,Year: 1993,21,44.56899999999999,60.06100000000001,1014,18389.0195675099,0.8140000000000001,39633,22026,9925,3177,18304,cluster_2
2,Country: Australia,Year: 1993,10,12.235,22.963,799,17633.3813804079,0.872,9392,6267,2780,674,4302,cluster_2
3,Country: Italy,Year: 1993,6,4.3100000000000005,7.375,326,18676.9525789183,0.7859999999999999,11687,8581,5033,1784,5672,cluster_2
4,Country: Netherlands,Year: 1993,6,8.671999999999999,11.599,568,22827.300043158706,0.8390000000000001,9528,5404,2776,989,5030,cluster_2
5,Country: Switzerland,Year: 1993,5,9.626,12.114,18,38100.736729035,0.841,5551,2946,1639,738,3021,cluster_2
6,Country: South Korea,Year: 1993,4,16.622,18.57,26,8740.9456025724,0.7559999999999999,1651,1121,714,416,704,cluster_2
7,Country: Spain,Year: 1993,4,4.957,5.899,11,13303.6761311749,0.782,6989,4659,3145,1052,3346,cluster_2
8,Country: Canada,Year: 1993,3,23.003,25.78,37,20017.4298480977,0.8540000000000001,16991,10696,5396,1922,8898,cluster_2
9,Country: Norway,Year: 1993,3,4.2589999999999995,6.533,2108,27963.6652188271,0.87,1925,1309,743,177,879,cluster_2
10,Country: Denmark,Year: 1993,2,1.995,3.46,264,27597.971483377998,0.815,3192,1939,881,226,1636,cluster_2
11,Country: Mexico,Year: 1993,2,1.8230000000000002,2.333,12,5526.86050703677,0.6629999999999999,917,689,387,202,432,cluster_2
12,Country: Austria,Year: 1993,2,2.056,3.425,57,24081.5278077646,0.807,2001,1649,1014,394,1004,cluster_2
13,Country: Taiwan,Year: 1993,2,2.631,4.048,22,,,2692,1584,1052,353,1248,cluster_2
14,Country: Brazil,Year: 1993,2,3.5039999999999996,3.866,3,2786.1713557447692,0.63,1860,1423,927,454,803,cluster_2
15,Country: Finland,Year: 1993,1,0.8220000000000001,0.94,4,17617.0304386654,0.799,2975,1653,735,195,1472,cluster_2
16,Country: Sweden,Year: 1993,1,0.8220000000000001,0.94,4,24080.8996705645,0.84,6663,4082,1759,474,3313,cluster_2
17,Country: Slovenia,Year: 1993,1,0.615,0.72,6,,0.769,266,228,186,78,102,cluster_2
18,Country: Belgium,Year: 1993,1,0.54,0.828,6,22403.2168180008,0.8390000000000001,3703,2301,1236,504,1915,cluster_2
19,Country: Greece,Year: 1993,1,0.485,0.77,512,10401.9829861914,0.762,1379,1045,570,198,654,cluster_2
20,Country: United Kingdom,Year: 1994,24,113.083,154.24000000000004,1543,19709.238098365306,0.8270000000000001,41833,23550,11551,3966,19657,cluster_2
21,Country: France,Year: 1994,24,81.39800000000005,125.131,1383,23496.523322266603,0.818,18531,12669,8497,3663,9541,cluster_2
22,Country: Switzerland,Year: 1994,9,47.707,67.064,349,41843.7568835613,0.8440000000000001,6008,3465,1948,835,3363,cluster_2
23,Country: Australia,Year: 1994,8,15.699000000000002,28.173,2738,18045.4390604354,0.875,10014,6737,3168,877,4699,cluster_2
24,Country: Netherlands,Year: 1994,8,18.856,23.769000000000002,74,24331.7540182404,0.8640000000000001,10263,5868,3132,1170,5439,cluster_2
25,Country: Sweden,Year: 1994,6,8.783,20.073,408,25747.2416875525,0.8490000000000001,7374,4536,2083,674,3690,cluster_2
26,Country: Norway,Year: 1994,5,9.359,17.052999999999994,2280,29315.8419070199,0.885,2251,1409,803,283,1087,cluster_2
27,Country: Canada,Year: 1994,5,49.76000000000001,55.5,27,19859.203977836798,0.8590000000000001,18532,11707,6321,2413,9565,cluster_2
28,Country: Taiwan,Year: 1994,4,5.643,8.283999999999999,30,,,3266,2262,1415,475,1429,cluster_2
29,Country: Saudi Arabia,Year: 1994,3,5.017,6.417999999999998,18,7382.13216628019,0.718,534,604,322,86,262,cluster_2
30,Country: Denmark,Year: 1994,3,4.37,6.205,264,29995.5652189509,0.8240000000000001,3568,2247,1087,375,1873,cluster_2
31,Country: Italy,Year: 1994,3,4.352,8.357999999999999,70,19273.8441700103,0.794,13136,9362,5577,2046,6299,cluster_2
32,Country: Mexico,Year: 1994,3,6.774,10.829,54,5715.409998603211,0.67,1113,803,475,211,481,cluster_2
33,Country: Hong Kong,Year: 1994,3,8.474,12.067,156,22502.5797409692,0.804,1050,817,413,165,476,cluster_2
34,Country: South Korea,Year: 1994,3,16.018,17.903999999999996,24,10205.8074659925,0.767,2100,1465,1033,546,983,cluster_2
35,Country: Spain,Year: 1994,3,6.72,7.9289999999999985,7,13378.8498420644,0.7909999999999999,7542,5321,3343,1161,3617,cluster_2
36,Country: Brazil,Year: 1994,2,4.367,5.0,7,3494.64054135109,0.64,2102,1621,1139,521,917,cluster_2
37,Country: Greece,Year: 1994,2,4.922,6.800000000000002,66,11091.2838606376,0.7659999999999999,1635,1161,705,281,716,cluster_2
38,Country: Finland,Year: 1994,1,2.0,2.4,8,20305.5835495475,0.809,3264,1864,900,277,1625,cluster_2
39,Country: Belgium,Year: 1994,1,3.0,4.256,16,24338.1377018161,0.845,4262,2561,1499,667,2297,cluster_2
40,Country: Austria,Year: 1994,1,1.9,3.05,61,25646.700659168397,0.813,2248,1911,1061,437,1103,cluster_2
41,Country: Slovenia,Year: 1994,1,1.746,12.8,64,,0.775,289,306,210,107,117,cluster_2
42,Country: Ireland,Year: 1994,1,1.6,2.4,2048,15921.9752702003,0.789,1082,717,369,109,497,cluster_2
43,Country: Turkey,Year: 1994,1,1.6,2.128,8,2270.3403622467104,0.599,975,1014,725,290,410,cluster_2
44,Country: Singapore,Year: 1994,1,1.3,1.375,1,21578.4605325312,0.763,1025,723,386,130,468,cluster_2
45,Country: France,Year: 1995,25,126.355,173.7729999999999,1050,26890.2198804535,0.825,19389,13486,8606,3916,9780,cluster_2
46,Country: United Kingdom,Year: 1995,17,144.297,197.44199999999995,1022,23013.458819927404,0.8390000000000001,44183,24773,12039,4187,20526,cluster_2
47,Country: Switzerland,Year: 1995,9,95.82799999999999,134.42,924,48662.4397737883,0.848,6082,3398,1949,926,3327,cluster_2
48,Country: Netherlands,Year: 1995,9,47.303999999999995,65.161,206,28884.713522243397,0.861,10840,6214,3082,1221,5789,cluster_2
49,Country: Canada,Year: 1995,8,78.297,90.564,112,20577.4893858895,0.861,18304,11874,6202,2691,9464,cluster_2
50,Country: South Korea,Year: 1995,6,35.383,46.268,127,12332.9793517745,0.778,2690,1978,1250,685,1191,cluster_2
51,Country: Italy,Year: 1995,6,27.199,43.148,238,20596.3885757596,0.8,13662,9811,5837,2293,6572,cluster_2
52,Country: Sweden,Year: 1995,4,21.645,33.27,211,29914.331746409,0.856,7877,4956,2194,651,3760,cluster_2
53,Country: Denmark,Year: 1995,4,17.128,23.360000000000007,78,35351.3807065346,0.831,3682,2272,1134,320,1905,cluster_2
54,Country: Finland,Year: 1995,3,11.375000000000002,14.993,44,26273.4659031066,0.816,3467,2004,984,272,1750,cluster_2
55,Country: Norway,Year: 1995,3,9.037,14.526,183,34875.1973878148,0.883,2413,1638,868,260,1080,cluster_2
56,Country: Australia,Year: 1995,3,11.693,16.4,56,20319.6306283956,0.883,10616,7373,3640,1022,5013,cluster_2
57,Country: Poland,Year: 1995,3,8.43,11.97,45,3682.7912152665203,0.74,2712,2761,1790,807,1144,cluster_2
58,Country: Austria,Year: 1995,3,10.360999999999999,32.523999999999994,166,30325.8495818396,0.8170000000000001,2462,2015,1094,463,1235,cluster_2
59,Country: Hong Kong,Year: 1995,3,14.453,21.272,188,23497.4923138193,0.8079999999999999,1318,1002,583,260,602,cluster_2
60,Country: Singapore,Year: 1995,2,6.7,9.056,32,24936.8308288424,0.773,1089,852,434,212,505,cluster_2
61,Country: Belgium,Year: 1995,2,5.625,7.98,30,28565.919151606602,0.852,4486,2818,1635,692,2309,cluster_2
62,Country: Taiwan,Year: 1995,2,9.5,13.832,52,,,3633,2497,1502,535,1610,cluster_2
63,Country: Mexico,Year: 1995,1,4.142,5.4,18,3828.7170228794494,0.669,1363,1057,619,303,558,cluster_2
64,Country: Slovenia,Year: 1995,1,3.306,12.8,64,10690.6652278647,0.782,342,324,194,121,136,cluster_2
65,Country: Spain,Year: 1995,1,3.275,3.809,4,15429.9394216199,0.8,8255,5955,3640,1334,3880,cluster_2
66,Country: China,Year: 1995,1,5.8,8.512,32,609.6566792024839,0.55,5389,5340,5786,3247,2116,cluster_2
67,Country: Greece,Year: 1995,1,3.2030000000000003,4.2,14,12959.3243186619,0.768,1818,1360,756,270,869,cluster_2
68,Country: Brazil,Year: 1995,1,2.9,3.2,1,4740.11981336276,0.648,2342,1913,1310,653,1063,cluster_2
69,Country: United Kingdom,Year: 1996,18,360.486,471.79999999999984,1488,24219.6228487767,0.8440000000000001,47305,26580,13157,5330,23317,cluster_2
70,Country: France,Year: 1996,17,239.113,356.94499999999994,1402,26871.8290189054,0.83,23842,15234,10352,5801,11995,cluster_2
71,Country: Netherlands,Year: 1996,9,111.68,143.566,363,28698.6660159512,0.866,12417,6679,3536,1873,6662,cluster_2
72,Country: Switzerland,Year: 1996,9,129.642,182.454,1015,46676.850944168,0.8540000000000001,7720,4093,2515,1399,4207,cluster_2
73,Country: Italy,Year: 1996,6,42.253,59.211999999999996,302,23020.099939992204,0.8059999999999999,16974,12002,7086,3409,7986,cluster_2
74,Country: Australia,Year: 1996,5,50.026,59.2,93,21861.32550987,0.8859999999999999,12117,8166,4103,1620,5907,cluster_2
75,Country: Spain,Year: 1996,5,33.039,45.24,146,16069.207085415801,0.8059999999999999,10659,7424,5066,2150,5098,cluster_2
